id_entrance;name_ru;name_en;name_pl;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle
1756;Улица Дыбенко-1;Ulica Dybenko-1;Ulica Dybenko-1;63;in;59.907295;30.483258;750;2;0;0;0;357;748;20
1757;Улица Дыбенко-2;Ulica Dybenko-2;Ulica Dybenko-2;63;out;59.907468;30.482987;750;2;0;0;0;357;748;20
1768;Проспект Большевиков-1;Prospekt Bol'shevikov-1;Prospekt Bol'shevikov-1;64;both;59.919628;30.466985;735;41;20;0;0;348;736;22
1780;Ладожская-1;Ladozhskaja-1;Ladozhskaja-1;65;out;59.932516;30.438854;740;0;0;0;0;0;0;0
1781;Ладожская-2;Ladozhskaja-2;Ladozhskaja-2;65;in;59.932680;30.439065;740;0;0;0;0;0;0;0
1782;Ладожская-3;Ladozhskaja-3;Ladozhskaja-3;65;in;59.932473;30.439737;910;7;0;0;0;0;1000;6
1783;Ладожская-4;Ladozhskaja-4;Ladozhskaja-4;65;out;59.932305;30.439521;910;7;0;0;0;0;1000;6
1792;Новочеркасская-1;Novocherkasskaja-1;Novocherkasskaja-1;66;both;59.928519;30.411029;740;42;0;0;0;362;740;22
1793;Новочеркасская-2;Novocherkasskaja-2;Novocherkasskaja-2;66;both;59.928920;30.410721;740;44;0;0;0;355;740;22
1794;Новочеркасская-3;Novocherkasskaja-3;Novocherkasskaja-3;66;both;59.929374;30.411064;740;38;26;0;0;344;740;18
1795;Новочеркасская-4;Novocherkasskaja-4;Novocherkasskaja-4;66;both;59.929454;30.411369;740;45;33;0;0;344;740;18
1796;Новочеркасская-5;Novocherkasskaja-5;Novocherkasskaja-5;66;both;59.929486;30.411566;740;37;25;0;0;344;740;18
1797;Новочеркасская-6;Novocherkasskaja-6;Novocherkasskaja-6;66;both;59.929542;30.411898;740;38;26;0;0;344;740;18
1798;Новочеркасская-7;Novocherkasskaja-7;Novocherkasskaja-7;66;both;59.929352;30.412833;740;39;0;0;0;362;740;22
1799;Новочеркасская-8;Novocherkasskaja-8;Novocherkasskaja-8;66;both;59.928970;30.413154;740;39;0;0;0;365;740;22
1800;Новочеркасская-9;Novocherkasskaja-9;Novocherkasskaja-9;66;both;59.928508;30.412740;740;40;28;0;0;344;740;18
1801;Новочеркасская-10;Novocherkasskaja-10;Novocherkasskaja-10;66;both;59.928452;30.412460;740;39;27;0;0;344;740;18
1802;Новочеркасская-11;Novocherkasskaja-11;Novocherkasskaja-11;66;both;59.928405;30.412209;740;39;27;0;0;344;740;18
1803;Новочеркасская-12;Novocherkasskaja-12;Novocherkasskaja-12;66;both;59.928330;30.411913;740;41;29;0;0;344;740;18
1804;Площадь Александра Невского 2-1;Ploshhad' Aleksandra Nevskogo 2-1;Ploshhad' Aleksandra Nevskogo 2-1;67;both;59.923588;30.383764;930;22;0;0;0;346;736;25
1816;Лиговский проспект-1;Ligovskij prospekt-1;Ligovskij prospekt-1;68;both;59.920917;30.354972;730;38;0;0;0;350;734;22
1828;Достоевская-1;Dostoevskaja-1;Dostoevskaja-1;69;both;59.928135;30.346503;730;26;0;0;0;352;743;24
1829;Достоевская-2;Dostoevskaja-2;Dostoevskaja-2;69;both;59.928338;30.346316;730;26;0;0;0;352;743;24
1996;Международная-1;Mezhdunarodnaja-1;Mezhdunarodnaja-1;83;both;59.870509;30.379168;915;4;0;0;0;0;1000;4
2008;Бухарестская-1;Buharestskaja-1;Buharestskaja-1;84;both;59.884190;30.369189;915;1;0;0;0;0;1000;6
2020;Волковская-1;Volkovskaja-1;Volkovskaja-1;85;both;59.896262;30.357343;915;28;0;0;0;367;758;26
2032;Обводный канал-1;Obvodnyj kanal-1;Obvodnyj kanal-1;86;in;59.914337;30.349522;915;26;0;0;0;375;725;24
2033;Обводный канал-2;Obvodnyj kanal-2;Obvodnyj kanal-2;86;out;59.914896;30.349672;915;26;0;0;0;375;725;24
2044;Звенигородская-1;Zvenigorodskaja-1;Zvenigorodskaja-1;87;both;59.922543;30.335532;940;4;0;0;0;0;1000;4
2045;Звенигородская-2;Zvenigorodskaja-2;Zvenigorodskaja-2;87;both;59.922169;30.336067;940;4;0;0;0;0;1000;4
2056;Садовая-1;Sadovaja-1;Sadovaja-1;88;both;59.926597;30.318603;925;70;0;0;0;363;739;25
2057;Садовая-2;Sadovaja-2;Sadovaja-2;88;both;59.927146;30.317639;925;67;0;0;0;361;739;25
2058;Садовая-3;Sadovaja-3;Sadovaja-3;88;both;59.926321;30.317892;925;70;0;0;0;356;739;25
2059;Садовая-4;Sadovaja-4;Sadovaja-4;88;both;59.926807;30.316752;925;66;0;0;0;359;739;25
2068;Адмиралтейская-1;Admiraltejskaja-1;Admiraltejskaja-1;89;both;59.936014;30.315146;910;10;0;0;0;0;1000;5
2069;Адмиралтейская-2;Admiraltejskaja-2;Admiraltejskaja-2;89;both;59.936158;30.314710;910;10;0;0;0;0;1000;5
2080;Спортивная-1;Sportivnaja-1;Sportivnaja-1;90;both;59.951700;30.291971;730;42;0;0;0;359;735;21
2081;Спортивная-2;Sportivnaja-2;Sportivnaja-2;90;both;59.952259;30.291143;730;39;0;0;0;363;737;24
2082;Спортивная-3;Sportivnaja-3;Sportivnaja-3;90;both;59.952050;30.291907;730;43;0;0;0;358;720;21
2083;Спортивная-4;Sportivnaja-4;Sportivnaja-4;90;both;59.951783;30.290629;730;45;0;0;0;354;733;21
2092;Чкаловская-1;Chkalovskaja-1;Chkalovskaja-1;91;in;59.960987;30.291756;730;12;0;0;0;0;1000;5
2093;Чкаловская-2;Chkalovskaja-2;Chkalovskaja-2;91;out;59.961037;30.292296;730;12;0;0;0;0;1000;5
2105;Крестовский остров-2;Krestovskij ostrov-2;Krestovskij ostrov-2;92;in;59.971659;30.259266;730;8;0;0;0;0;1000;4
2106;Крестовский остров-3;Krestovskij ostrov-3;Krestovskij ostrov-3;92;out;59.971919;30.259569;730;8;0;0;0;0;1000;4
2116;Старая деревня-1;Staraja derevnja-1;Staraja derevnja-1;93;in;59.989569;30.254819;730;9;0;0;0;0;1000;11
2117;Старая деревня-2;Staraja derevnja-2;Staraja derevnja-2;93;out;59.989668;30.255549;730;9;0;0;0;0;1000;11
2128;Комендантский проспект-1;Komendantskij prospekt-1;Komendantskij prospekt-1;94;both;60.008239;30.258492;925;36;0;0;0;0;1000;8
2129;Комендантский проспект-2;Komendantskij prospekt-2;Komendantskij prospekt-2;94;both;60.008573;30.258085;925;36;0;0;0;0;1000;8
2130;Комендантский проспект-3;Komendantskij prospekt-3;Komendantskij prospekt-3;94;both;60.008799;30.258832;925;37;0;0;0;0;1000;6
2131;Комендантский проспект-4;Komendantskij prospekt-4;Komendantskij prospekt-4;94;both;60.008464;30.259234;925;37;0;0;0;0;1000;6
2132;Комендантский проспект-5;Komendantskij prospekt-5;Komendantskij prospekt-5;94;both;60.008298;30.258911;925;13;0;0;0;0;1000;6
