id_from,id_to,name_from,name_to,cost
186,79,Новокосино,Новогиреево,224
141,142,Полянка,Серпуховская,106
141,140,Полянка,Боровицкая,116
61,62,Багратионовская,Филёвский парк,90
61,60,Багратионовская,Фили,124
2,1,Черкизовская,Бульвар Рокоссовского,126
2,3,Черкизовская,Преображенская площадь,205
82,83,Авиамоторная,Площадь Ильича,174
53,52,Щёлковская,Первомайская,133
112,111,Кузьминки,Рязанский проспект,146
112,113,Кузьминки,Текстильщики,134
212,213,Пятницкое шоссе,Митино,139
142,143,Серпуховская,Тульская,167
142,74,Серпуховская,Добрынинская,180
46,45,Курская (3),Пл. Революции,165
46,151,Курская (3),Чкаловская,180
46,71,Курская (3),Курская (5),240
78,67,Краснопресненская,Белорусская (5),117
78,120,Краснопресненская,Баррикадная,300
78,77,Краснопресненская,Киевская (5),125
120,121,Баррикадная,Улица 1905 года,103
120,119,Баррикадная,Пушкинская,130
217,218,Марьина Роща,Достоевская,163
83,84,Площадь Ильича,Марксистская,138
35,67,Белорусская (2),Белорусская (5),180
35,34,Белорусская (2),Маяковская,87
218,166,Достоевская,Трубная,121
89,88,Ботанический сад,Свиблово,107
89,90,Ботанический сад,ВДНХ,188
7,8,Красные Ворота,Чистые пруды,81
7,6,Красные Ворота,Комсомольская (1),103
25,226,Каширская (11),Каширская (2),120
69,68,Проспект Мира (5),Новослободская,117
69,93,Проспект Мира (5),Проспект Мира (6),180
69,70,Проспект Мира (5),Комсомольская (5),120
30,29,Павелецкая (2),Автозаводская,204
30,31,Павелецкая (2),Новокузнецкая,111
30,73,Павелецкая (2),Павелецкая (5),240
214,213,Волоколамская,Митино,141
214,215,Волоколамская,Мякинино,100
116,72,Таганская (7),Таганская (5),180
116,84,Таганская (7),Марксистская,240
116,227,Таганская (7),Китай-город (7),128
116,115,Таганская (7),Пролетарская,115
162,150,Улица Академика Янгеля,Пражская,140
31,32,Новокузнецкая,Театральная,147
31,97,Новокузнецкая,Третьяковская (6),180
31,85,Новокузнецкая,Третьяковская (8),180
146,147,Нахимовский проспект,Севастопольская,95
211,66,Строгино,Крылатское,463
211,215,Строгино,Мякинино,210
106,105,Коньково,Беляево,89
106,107,Коньково,Тёплый Стан,142
195,194,Бунинская аллея,Улица Горчакова,102
227,96,Китай-город (7),Китай-город (6),120
227,118,Китай-город (7),Кузнецкий Мост,70
79,80,Новогиреево,Перово,136
114,115,Волгоградский проспект,Пролетарская,104
114,113,Волгоградский проспект,Текстильщики,196
135,136,Дмитровская,Савёловская,109
135,134,Дмитровская,Тимирязевская,86
157,156,Люблино,Волжская,162
157,158,Люблино,Братиславская,163
126,234,Тушинская,Спартак,79
234,125,Спартак,Щукинская,159
126,127,Тушинская,Сходненская,163
46,48,Курская (3),Электрозаводская,280
92,91,Рижская,Алексеевская,122
92,93,Рижская,Проспект Мира (6),119
133,132,Петровско-Разумовская,Владыкино,150
133,134,Петровско-Разумовская,Тимирязевская,138
115,153,Пролетарская,Крестьянская Застава,180
84,72,Марксистская,Таганская (5),180
84,85,Марксистская,Третьяковская (8),119
26,147,Каховская,Севастопольская,120
70,6,Комсомольская (5),Комсомольская (1),360
70,71,Комсомольская (5),Курская (5),141
52,51,Первомайская,Измайловская,153
44,54,Арбатская (3),Александровский сад,180
44,45,Арбатская (3),Пл. Революции,99
44,43,Арбатская (3),Смоленская (3),115
44,140,Арбатская (3),Боровицкая,180
93,94,Проспект Мира (6),Сухаревская,96
164,191,Бульвар Дмитрия Донского,Улица Старокачаловская,120
97,96,Третьяковская (6),Китай-город (6),152
97,85,Третьяковская (6),Третьяковская (8),120
97,98,Третьяковская (6),Октябрьская (6),132
33,139,Тверская,Чеховская,240
33,119,Тверская,Пушкинская,180
33,34,Тверская,Маяковская,77
33,32,Тверская,Театральная,97
75,74,Октябрьская (5),Добрынинская,79
75,98,Октябрьская (5),Октябрьская (6),180
119,139,Пушкинская,Чеховская,240
119,118,Пушкинская,Кузнецкий Мост,89
74,73,Добрынинская,Павелецкая (5),76
154,155,Кожуховская,Печатники,206
154,161,Кожуховская,Дубровка,113
104,103,Калужская,Новые Черёмушки,121
104,105,Калужская,Беляево,175
94,95,Сухаревская,Тургеневская,82
68,67,Новослободская,Белорусская (5),92
56,55,Смоленская (4),Арбатская (4),109
56,57,Смоленская (4),Киевская (4),131
39,40,Войковская,Водный стадион,160
62,63,Филёвский парк,Пионерская,110
219,8,Сретенский бульвар,Чистые пруды,180
219,95,Сретенский бульвар,Тургеневская,180
219,151,Сретенский бульвар,Чкаловская,143
219,166,Сретенский бульвар,Трубная,127
29,237,Автозаводская,Технопарк,120
237,8,Технопарк,Коломенская,120
88,87,Свиблово,Бабушкинская,138
22,23,Орехово,Царицыно,161
22,21,Орехово,Домодедовская,115
49,48,Семёновская,Электрозаводская,90
158,159,Братиславская,Марьино,128
14,15,Фрунзенская,Спортивная,89
14,13,Фрунзенская,Парк культуры (1),143
64,210,Кунцевская (4),Кунцевская (3),180
64,63,Кунцевская (4),Пионерская,137
98,99,Октябрьская (6),Шаболовская,99
165,216,Парк победы,Славянский бульвар,199
165,42,Парк победы,Киевская (3),206
8,95,Чистые пруды,Тургеневская,180
8,9,Чистые пруды,Лубянка,97
192,191,Улица Скобелевская,Улица Старокачаловская,255
192,193,Улица Скобелевская,Бульвар Адмирала Ушакова,78
101,100,Академическая,Ленинский проспект,179
9,118,Лубянка,Кузнецкий Мост,180
193,194,Бульвар Адмирала Ушакова,Улица Горчакова,85
41,40,Речной вокзал,Водный стадион,128
60,59,Фили,Кутузовская,136
159,220,Марьино,Борисово,147
65,66,Молодёжная,Крылатское,136
65,210,Молодёжная,Кунцевская (3),183
156,155,Волжская,Печатники,155
16,15,Воробьёвы горы,Спортивная,144
32,45,Театральная,Пл. Революции,240
28,226,Коломенская,Каширская (2),186
54,55,Александровский сад,Арбатская (4),74
59,58,Кутузовская,Студенческая,109
222,221,Зябликово,Шипиловская,90
143,144,Тульская,Нагатинская,206
132,131,Владыкино,Отрадное,152
108,109,Ясенево,Новоясеневская,124
108,107,Ясенево,Тёплый Стан,165
23,24,Царицыно,Кантемировская,120
210,216,Кунцевская (3),Славянский бульвар,129
221,220,Шипиловская,Борисово,114
149,148,Южная,Чертановская,151
149,150,Южная,Пражская,90
95,96,Тургеневская,Китай-город (6),103
151,71,Чкаловская,Курская (5),360
100,99,Ленинский проспект,Шаболовская,160
189,188,Международная,Выставочная,81
127,128,Сходненская,Планерная,94
42,57,Киевская (3),Киевская (4),240
42,43,Киевская (3),Смоленская (3),84
42,77,Киевская (3),Киевская (5),180
13,12,Парк культуры (1),Кропоткинская,110
19,18,Юго-Западная,Проспект Вернадского,147
235,19,Тропарёво,Юго-Западная,204
226,24,Каширская (2),Кантемировская,178
147,148,Севастопольская,Чертановская,112
90,91,ВДНХ,Алексеевская,105
140,139,Боровицкая,Чеховская,126
87,86,Бабушкинская,Медведково,142
166,138,Трубная,Цветной бульвар,180
131,130,Отрадное,Бибирево,156
77,57,Киевская (5),Киевская (4),360
129,130,Алтуфьево,Бибирево,128
73,72,Павелецкая (5),Таганская (5),98
71,72,Курская (5),Таганская (5),129
161,153,Дубровка,Крестьянская Застава,126
138,139,Цветной бульвар,Чеховская,76
188,57,Выставочная,Киевская (4),286
57,58,Киевская (4),Студенческая,129
232,231,Битцевский парк,Лесопарковая,166
232,109,Битцевский парк,Новоясеневская,120
231,191,Лесопарковая,Улица Старокачаловская,158
233,230,Парк Победы,Деловой центр,197
230,188,Деловой центр,Выставочная,180
165,233,Парк Победы (3),Парк Победы (8),120
229,236,Жулебино,Котельники,127
