id_entrance;meetcode;name_ru;name_en;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator;time
20031;1;ул. Луганская, НИИ автоматики;ul. Luganskaja, NII avtomatiki;23;in;55.6227719;37.66866399;720;75;75;0;0;0;0;0;0;135
20040;2;ул. Луганская (нечетная сторона), ул. Каспийская;ul. Luganskaja (odd side), ul. Kaspijskaja;23;out;55.62243754;37.66895672;720;34;0;0;0;400;830;20;1;194
20041;2;ул. Луганская (нечетная сторона), ул. Каспийская;ul. Luganskaja (odd side), ul. Kaspijskaja;23;in;55.62243754;37.66895672;720;67;33;0;0;400;830;20;0;127
20050;4;ул. Товарищеская;ul. Tovarischeskaja;23;out;55.6204879;37.66994693;720;43;43;0;0;0;0;0;1;203
20051;4;ул. Товарищеская;ul. Tovarischeskaja;23;in;55.6204879;37.66994693;720;70;70;0;0;0;0;0;0;130
20060;5;ул. Каспийская;ul. Kaspijskaja;23;in;55.62023976;37.67048654;720;66;29;0;0;430;830;20;0;126
20061;5;ул. Каспийская;ul. Kaspijskaja;23;out;55.62023976;37.67048654;720;39;2;0;0;430;830;20;1;199
20070;6;пригородные поезда, парк Царицыно;suburban trains, park Tsaritsyno;23;in;55.61965888;37.67066623;720;57;27;0;0;320;550;20;0;117
20071;6;пригородные поезда, парк Царицыно;suburban trains, park Tsaritsyno;23;out;55.61965888;37.67066623;720;20;0;0;0;320;550;20;1;180
20090;4;Окружной пр-д, Ледовый дворец;Okruzhnoj proezd, Ledovyj dvorec;2;both;55.8051386;37.7446065;720;60;24;0;0;430;825;21;0;120
20100;3;"Окружной пр-д, стадион ""Локомотив""";"Okruzhnoj proezd, staduim ""Lokomotiv""";2;both;55.80474775;37.74460173;720;61;61;0;0;0;0;0;0;121
20110;1;"ул. Большая Черкизовская, стадион ""Локомотив"", ТЦ ""Черкизово""";"ul. Bol'shaja Cherkizovskaja, staduim ""Lokomotiv"", shopping mall ""Cherkizovo""";2;in;55.8027506;37.744535;720;5;5;0;0;0;0;0;1;165
20111;2;"ул. Большая Черкизовская, стадион ""Локомотив"", ТЦ ""Черкизово""";"ul. Bol'shaja Cherkizovskaja, staduim ""Lokomotiv"", shopping mall ""Cherkizovo""";2;out;55.80274138;37.74521052;540;3;3;0;0;0;0;0;1;163
20120;7;"ул. Чертановская, ТЦ ""Свод""";"ul. Chertanovskaja, shopping mall ""Svod""";148;both;55.64025368;37.60596794;740;27;0;0;0;410;580;20;1;187
20121;8;"Балаклавский пр-т, ТЦ ""Штаер""";"Balaklavskij prospekt, shopping mall ""Shtaer""";148;out;55.63981318;37.60790474;740;4;4;0;0;0;0;0;1;164
20122;6;ул. Чертановская, трамвайная остановка;ul. Chertanovskaja, tramway stop;148;both;55.64037369;37.60573625;740;30;27;0;0;0;1000;20;1;190
