id_station;id_line;id_node;name_en;name_ru;lat;lon
221;10;107;Shipilovskaya;Шипиловская;55.621134595;37.7437793339
222;10;56;Zyablikovo;Зябликово;55.6123041563;37.7451781741
25;11;51;Kashirskaya;Каширская;55.6551892208;37.6486412642
27;11;88;Varshavskaya;Варшавская;55.6532899378;37.6191954138
26;11;89;Kakhovskaya;Каховская;55.6529424725;37.5981783677
232;12;87;Bitsevsky Park;Битцевский парк;55.6000571166;37.5564364452
231;12;155;Lesoparkovaya;Лесопарковая;55.5821001219;37.5775097511
191;12;33;Ulitsa Starokachalovskaya;Улица Старокачаловская;55.5688431403;37.5763752451
192;12;34;Ulitsa Skobelevskaya;Улица Скобелевская;55.5480520853;37.5544410639
193;12;35;Bulvar Admirala Ushakova;Бульвар Адмирала Ушакова;55.5453759218;37.5430139165
194;12;36;Ulitsa Gorchakova;Улица Горчакова;55.5416865737;37.530711611
195;12;37;Buninskaya Alleya;Бунинская аллея;55.5380990622;37.5163918295
