date;id_station;id_line;cell_cid;cell_lac;cell_hash;cell_name;cell_signal;cell_neighbors_count;cell_neighbors_data;geo_location;who
"";75;5;11021;660;-1;25001;"";"";"";"";""
"";75;5;341;7736;-1;25002;"";"";"";"";""
"";75;5;43241;770;-1;25001;"";"";"";"";""
"";75;5;6892887;660;-1;25001;"";"";"";"";""
"";75;5;6899779;770;-1;25001;"";"";"";"";""
"";75;5;6913616;660;-1;25001;"";"";"";"";""
"";75;5;6926696;660;-1;25001;"";"";"";"";""
"";76;5;10323355;7736;503;25002;"";"";"";"";""
"";76;5;11022;660;-1;25001;"";"";"";"";""
"";76;5;280;7736;-1;25002;"";"";"";"";""
"";76;5;6892888;660;-1;25001;"";"";"";"";""
"";77;5;170;7736;-1;25002;"";"";"";"";""
"";77;5;6892889;660;-1;25001;"";"";"";"";""
"";77;5;6899758;660;-1;25001;"";"";"";"";""
"";77;5;6913618;660;-1;25001;"";"";"";"";""
"";78;5;210;7736;-1;25002;"";"";"";"";""
"";8;1;100;7763;-1;25002;"";"";"";"";""
"";8;1;400;7763;-1;25002;"";"";"";"";""
"";84;8;10289457;7736;-1;25002;"";"";"";"";""
"";9;1;100;7763;-1;25002;"";"";"";"";""
"";98;6;43241;770;-1;25001;"";"";"";"";""
"";98;6;6894473;770;-1;25001;"";"";"";"";""
"";98;6;6899779;770;-1;25001;"";"";"";"";""
"";99;6;49565;26632;-1;25001;"";"";"";"";""
"";99;6;49566;26632;-1;25001;"";"";"";"";""
"";99;6;543;770;-1;25001;"";"";"";"";""
