id_station;id_line;id_node;name_en;name_ru;lat;lon
1;1;1;Yelshanka;Ельшанка;48.6809756259;44.4709393776
2;1;2;TYUZ;ТЮЗ;48.6904685007;44.4889103116
3;1;3;Profsoyuznaya;Профсоюзная;48.6974040403;44.5004270187
4;1;4;Pionerskaya;Пионерская;48.7029478328;44.5097285283
5;1;5;Komsomolskaya;Комсомольская;48.7089671389;44.5200216577
6;1;6;Ploschad Lenina;Площадь Ленина;48.7172770287;44.5303379829
7;1;7;TRK Evropa;ТРК Европа;48.7267815925;44.5380721703
8;1;8;Park Kultury;Парк Культуры;48.7297935151;44.5398942517
9;1;9;Tsentralny Stadion;Центральный стадион;48.7359490768;44.5446953265
10;1;10;Mamaev kurgan;Мамаев курган;48.7392880959;44.5471825774
11;1;11;Dvorets sporta;Дворец спорта;48.7463700653;44.5489936824
12;1;12;Ploschad Vozrozhdeniya;Площадь Возрождения;48.7508550199;44.5498893561
13;1;13;Ulitsa imeni 39 gvardeiskoy divisii;Улица имени 39-й гвардейской дивизии;48.7569688714;44.5546794545
14;1;14;"Zavod ""Krasny Oktyabr""";Завод «Красный Октябрь»;48.7630541842;44.5601500893
15;1;15;"Stadion ""Monolit""";Стадион «Монолит»;48.7708671815;44.5675350072
16;1;16;14 gimnasiya;14-я гимназия;48.7739603293;44.5711945369
17;1;17;"Zavod ""Barrikady""";Завод «Баррикады»;48.7767680909;44.5753106847
18;1;18;Bolnitsa Ilyicha;Больница Ильича;48.7817052729;44.5827219459
19;1;19;Vodootstoi;Водоотстой;48.7864843949;44.5921023723
20;1;20;Khlebozavod;Хлебозавод;48.792020888;44.5986486936
21;1;21;Traktorny Zavod (VGTZ);Тракторный завод (ВГТЗ);48.7978647202;44.602619953
22;1;22;Ploschad Chekistov;Площадь Чекистов;48.7022822811;44.505463499
