station_from;station_to;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator
10;40;1000;21;0;0;0;0;0;0;1
40;10;1000;21;0;0;0;0;0;0;1
11;26;1000;21;0;0;0;0;0;0;1
26;11;1000;21;0;0;0;0;0;0;1
27;41;1000;20;0;0;0;0;0;0;1
41;27;1000;20;0;0;0;0;0;0;1
