id_station;id_line;id_node;name_en;name_ru;lat;lon
1;1;1;Zayeltsovskaya;Заельцовская;55.0594892;82.912499
2;1;2;Gagarinskaya;Гагаринская;55.0513927;82.9146721
3;1;3;Krasny Prospekt;Красный проспект;55.0420288;82.9172194
4;1;4;Ploshchad Lenina;Площадь Ленина;55.0302537;82.9205504
5;1;5;Oktyabrskaya;Октябрьская;55.0188791;82.9392889
6;1;6;Rechnoy Vokzal;Речной вокзал;55.0086786;82.93796
7;1;7;Studencheskaya;Студенческая;54.988957;82.9061801
8;1;8;Ploshchad Marksa;Площадь Маркса;54.9830202;82.8931434
9;2;9;Ploshchad Garina-Mikhaylovskogo;Площадь Гарина-Михайловского;55.0353916;82.8991178
10;2;3;Sibirskaya;Сибирская;55.0423037;82.9185249
11;2;10;Marshala Pokryshkina;Маршала Покрышкина;55.0437179;82.9350415
12;2;11;Beryozovaya Roshcha;Берёзовая роща;55.0433692;82.9530135
13;2;12;Zolotaya Niva;Золотая Нива;55.0376343;82.9766859
