id_from;id_to;name_from;name_to;cost
1;2;Заельцовская;Гагаринская;75
2;3;Гагаринская;Красный проспект;100
3;4;Красный проспект;Площадь Ленина;100
4;5;Площадь Ленина;Октябрьская;130
5;6;Октябрьская;Речной вокзал;104
6;7;Речной вокзал;Студенческая;210
7;8;Студенческая;Площадь Маркса;95
9;10;Площадь Гарина-Михайловского;Сибирская;150
10;11;Сибирская;Маршала Покрышкина;95
11;12;Маршала Покрышкина;Берёзовая роща;120
12;13;Берёзовая роща;Золотая Нива;150
3;10;Красный проспект;Сибирская;300
