station_from;station_to;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator
3;10;1000;26;0;0;0;0;0;0;1
10;3;1000;26;0;0;0;0;0;0;1
