nodeId,nodeName,totalElements,stairwaysAmount,stairway,minStairwayWidth,maxStairwayWidth,doorsAmount,minDoorWidth,maxDoorWidth,tapersAmount,minTaperWidth,maxTaperWidth,doorsAndTapersAmount,minDoorAndTaperWidth,maxDoorAndTaperWidth,turnstilesAmount,minturnstileWidth,maxturnstileWidth,liftAmount,lift,surfaceLevelLiftsAmount,hallLevelLiftsAmount,trainLevelLiftsAmount,surfaceLevelLifts,hallLevelLifts,trainLevelLifts,minLiftWidth,maxLiftWidth,pandusAmount,pandus,pandusAvailableAmount,pandusAvailable,pandusRailing,pandusMinSlope,pandusMaxSlope,stairsAmount,stairs,coupleStairsAmount,coupleStairs,stairsLength,railsStairsAmount,rails,railsStairsLength,minRailsWidth,maxRailsWidth,minRailsSlope,maxRailsSlope,railingAmount,noRailing,noRailingAmount,railingStairsLength,noRailingStairsLength
118,Нагатинская,29,1,1,1000.0,1000.0,6,740.0,750.0,4,830.0,830.0,10,740.0,830.0,6,800.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,12,1,2.0,1,277,6,1,172,310.0,880.0,29.0,36.0,10,1,2,265,12
119,Нагорная,11,0,0,,,2,740.0,740.0,2,830.0,830.0,4,740.0,830.0,2,800.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,5,1,0.0,0,146,2,1,41,320.0,770.0,32.0,34.0,5,1,0,145,1
120,Нахимовский проспект,24,2,1,1000.0,1000.0,4,740.0,740.0,4,830.0,830.0,8,740.0,830.0,4,790.0,790.0,0,0,0,0,0,0,0,0,,,1,1,,0,0,,,9,1,3.0,1,215,4,1,148,310.0,770.0,32.0,34.0,6,1,3,212,3
121,Чертановская,27,2,1,1000.0,1000.0,4,740.0,740.0,4,820.0,840.0,8,740.0,840.0,4,800.0,800.0,0,0,0,0,0,0,0,0,,,2,1,0.0,0,1,31.0,36.0,11,1,1.0,1,206,4,1,107,310.0,960.0,32.0,38.0,8,1,3,194,12
122,Южная,32,2,1,1000.0,1000.0,4,740.0,740.0,8,800.0,830.0,12,740.0,830.0,4,800.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,14,1,4.0,1,320,4,1,124,310.0,790.0,29.0,32.0,9,1,5,304,16
123,Пражская,36,2,1,1000.0,1000.0,4,740.0,740.0,4,830.0,830.0,8,740.0,830.0,4,800.0,800.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,19.0,19.0,21,1,7.0,1,507,7,1,244,400.0,920.0,36.0,36.0,14,1,7,499,8
124,Улица Академика Янгеля,36,1,1,1000.0,1000.0,8,740.0,740.0,6,810.0,830.0,14,740.0,830.0,4,800.0,800.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,42.0,42.0,16,1,6.0,1,267,7,1,205,260.0,980.0,36.0,36.0,9,1,7,256,11
125,Аннино,26,1,1,1000.0,1000.0,7,740.0,900.0,3,830.0,830.0,10,740.0,900.0,2,800.0,800.0,0,0,0,0,0,0,0,0,,,2,1,0.0,0,2,9.0,9.0,11,1,4.0,1,173,6,1,138,370.0,960.0,34.0,42.0,7,1,4,168,5
126,Улица Подбельского,28,1,1,950.0,950.0,4,740.0,740.0,5,830.0,830.0,9,740.0,830.0,4,540.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,14,1,5.0,1,196,5,1,108,420.0,985.0,32.0,36.0,9,1,5,191,5
127,Черкизовская,21,1,1,950.0,950.0,4,720.0,720.0,6,835.0,835.0,10,720.0,835.0,4,540.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,6,1,1.0,1,105,1,1,36,430.0,825.0,38.0,38.0,3,1,3,96,9
128,Преображенская площадь,36,0,0,,,4,730.0,750.0,6,835.0,840.0,10,730.0,840.0,4,540.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,22,1,6.0,1,461,8,1,251,310.0,1100.0,31.0,47.0,15,1,7,451,10
129,Сокольники,15,0,0,,,3,730.0,730.0,2,730.0,730.0,5,730.0,730.0,2,540.0,1200.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,8,1,0.0,0,164,0,0,0,,,,,5,1,3,152,12
130,Красносельская,6,0,0,,,1,750.0,750.0,1,890.0,890.0,2,750.0,890.0,1,900.0,900.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,3,1,0.0,0,82,0,0,0,,,,,3,1,0,74,8
131,Красные ворота,16,3,1,950.0,950.0,3,730.0,730.0,3,840.0,840.0,6,730.0,840.0,2,790.0,790.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,5,1,2.0,1,49,0,0,0,,,,,4,1,1,45,4
132,Лубянка - Кузнецкий мост,38,7,1,900.0,950.0,5,710.0,740.0,5,820.0,840.0,10,710.0,840.0,3,700.0,970.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,27.0,27.0,17,1,6.0,1,293,0,0,0,,,,,11,1,6,287,6
133,Кропоткинская,18,0,0,,,4,720.0,720.0,5,830.0,830.0,9,720.0,830.0,2,700.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,7,1,0.0,0,131,0,0,0,,,,,7,0,0,131,0
134,Фрунзенская,6,1,1,950.0,950.0,1,710.0,710.0,1,820.0,820.0,2,710.0,820.0,2,550.0,700.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,1,1,1.0,1,2,0,0,0,,,,,0,1,1,0,2
135,Спортивная,10,2,1,950.0,950.0,3,730.0,730.0,3,840.0,840.0,6,730.0,840.0,2,790.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,0,0,0,0,0
136,Воробьёвы горы,22,2,1,900.0,900.0,4,720.0,720.0,5,830.0,835.0,9,720.0,835.0,2,790.0,790.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,9,1,2.0,1,168,1,1,4,605.0,890.0,47.0,47.0,6,1,3,162,6
137,Университет,17,2,1,950.0,950.0,6,725.0,725.0,6,835.0,835.0,12,725.0,835.0,2,790.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,1,1,0.0,0,22,0,0,0,,,,,1,1,0,15,7
138,Проспект Вернадского,28,0,0,,,3,720.0,730.0,7,830.0,840.0,10,720.0,840.0,3,550.0,790.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,42.0,42.0,14,1,5.0,1,242,3,1,80,320.0,775.0,40.0,40.0,7,1,7,197,45
139,Юго-Западная,25,0,0,,,3,720.0,720.0,3,835.0,835.0,6,720.0,835.0,3,540.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,16,1,6.0,1,265,4,1,102,300.0,910.0,36.0,42.0,8,1,8,206,59
140,Планерная,19,2,1,1000.0,1000.0,4,710.0,710.0,4,840.0,840.0,8,710.0,840.0,3,790.0,1800.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,31.0,31.0,5,1,0.0,0,97,0,0,0,,,,,2,1,3,88,9
141,Сходненская,31,1,1,1000.0,1000.0,4,740.0,740.0,4,830.0,840.0,8,740.0,840.0,2,1400.0,1600.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,36.0,36.0,19,1,8.0,1,370,5,1,175,280.0,880.0,29.0,36.0,11,1,8,362,8
142,Тушинская,23,1,1,950.0,950.0,5,740.0,740.0,6,820.0,830.0,11,740.0,830.0,2,810.0,820.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,9,1,2.0,1,195,2,1,49,330.0,670.0,31.0,31.0,7,1,2,186,9
143,Щукинская,20,1,1,950.0,950.0,4,740.0,740.0,4,820.0,840.0,8,740.0,840.0,4,540.0,1400.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,7,1,2.0,1,153,4,1,127,290.0,840.0,27.0,42.0,5,1,2,148,5
144,Октябрьское поле,28,0,0,,,4,740.0,740.0,4,840.0,840.0,8,740.0,840.0,2,1050.0,1150.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,18,1,8.0,1,321,6,1,200,280.0,900.0,31.0,34.0,10,1,8,313,8
145,Полежаевская,30,1,1,950.0,950.0,4,740.0,740.0,4,840.0,850.0,8,740.0,850.0,4,530.0,1080.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,17,1,6.0,1,354,6,1,174,310.0,820.0,29.0,36.0,11,1,6,347,7
146,Беговая,33,2,1,1000.0,1000.0,5,740.0,810.0,7,830.0,900.0,12,740.0,900.0,2,1200.0,1300.0,0,0,0,0,0,0,0,0,,,2,1,2.0,1,2,7.0,9.0,15,1,4.0,1,291,2,1,65,300.0,840.0,40.0,45.0,10,1,5,283,8
147,Улица 1905 года,16,1,1,1000.0,1000.0,4,740.0,830.0,4,830.0,860.0,8,740.0,860.0,3,580.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,4,1,1.0,1,94,2,1,58,290.0,760.0,31.0,47.0,3,1,1,93,1
148,Волгоградский проспект,28,0,0,,,4,740.0,740.0,10,820.0,830.0,14,740.0,830.0,4,540.0,800.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,18.0,18.0,9,1,3.0,1,166,1,1,28,290.0,753.0,36.0,36.0,6,1,3,162,4
149,Текстильщики,27,2,1,1000.0,1000.0,5,740.0,740.0,5,830.0,830.0,10,740.0,830.0,3,540.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,12,1,4.0,1,205,6,1,150,300.0,820.0,34.0,47.0,8,1,4,198,7
150,Кузьминки,40,1,1,1000.0,1000.0,12,740.0,830.0,4,820.0,820.0,16,740.0,830.0,4,540.0,800.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,34.0,34.0,18,1,7.0,1,259,6,1,147,290.0,920.0,38.0,49.0,10,1,8,249,10
151,Рязанский проспект,19,2,1,1000.0,1000.0,4,740.0,740.0,4,830.0,830.0,8,740.0,830.0,4,540.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,5,1,0.0,0,93,2,1,8,300.0,770.0,40.0,40.0,5,0,0,93,0
152,Выхино,21,0,0,,,0,,,0,,,0,,,6,550.0,890.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,15,1,1.0,1,271,0,0,0,,,,,14,1,1,270,1
153,Лермонтовский проспект,28,0,0,,,15,900.0,950.0,0,,,15,900.0,950.0,4,800.0,800.0,4,1,2,4,2,1,1,1,850.0,870.0,0,0,,0,0,,,5,1,0.0,0,171,2,1,77,440.0,1140.0,32.0,34.0,5,0,0,171,0
154,Жулебино,44,1,1,950.0,950.0,20,900.0,950.0,0,,,20,900.0,950.0,4,800.0,800.0,5,1,3,5,2,1,1,1,850.0,850.0,2,1,2.0,1,0,7.0,7.0,12,1,5.0,1,221,0,0,0,,,,,7,1,5,216,5
155,Лесопарковая,10,0,0,,,3,950.0,950.0,0,,,3,950.0,950.0,1,1000.0,1000.0,1,1,1,1,0,1,1,0,950.0,950.0,0,0,,0,0,,,4,1,1.0,1,71,0,0,0,,,,,3,1,1,69,2
156,Спартак,47,1,1,950.0,950.0,12,900.0,1050.0,0,,,12,900.0,1050.0,4,800.0,1000.0,3,1,2,3,1,1,1,1,900.0,900.0,8,1,5.0,1,0,7.0,18.0,17,1,17.0,1,189,6,1,142,370.0,910.0,36.0,40.0,8,1,9,180,9
