nodeId,nodeName,totalElements,stairwaysAmount,stairway,minStairwayWidth,maxStairwayWidth,doorsAmount,minDoorWidth,maxDoorWidth,tapersAmount,minTaperWidth,maxTaperWidth,doorsAndTapersAmount,minDoorAndTaperWidth,maxDoorAndTaperWidth,turnstilesAmount,minturnstileWidth,maxturnstileWidth,liftAmount,lift,surfaceLevelLiftsAmount,hallLevelLiftsAmount,trainLevelLiftsAmount,surfaceLevelLifts,hallLevelLifts,trainLevelLifts,minLiftWidth,maxLiftWidth,pandusAmount,pandus,pandusAvailableAmount,pandusAvailable,pandusRailing,pandusMinSlope,pandusMaxSlope,stairsAmount,stairs,coupleStairsAmount,coupleStairs,stairsLength,railsStairsAmount,rails,railsStairsLength,minRailsWidth,maxRailsWidth,minRailsSlope,maxRailsSlope,railingAmount,noRailing,noRailingAmount,railingStairsLength,noRailingStairsLength
22,Щелковская,27,0,0,,,4,710.0,710.0,10,820.0,840.0,14,710.0,840.0,5,520.0,830.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,8,1,0.0,0,206,2,1,57,300.0,830.0,45.0,49.0,8,0,0,206,0
23,Пионерская,14,0,0,,,4,720.0,720.0,4,820.0,820.0,8,720.0,820.0,4,550.0,550.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,2,1,0.0,0,56,0,0,0,,,,,2,0,0,56,0
24,Филевский парк,15,0,0,,,4,720.0,720.0,5,820.0,820.0,9,720.0,820.0,4,530.0,550.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,2,1,0.0,0,60,0,0,0,,,,,2,0,0,60,0
25,Багратионовская,14,0,0,,,4,720.0,750.0,4,820.0,840.0,8,720.0,840.0,4,540.0,560.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,2,1,0.0,0,56,0,0,0,,,,,2,0,0,56,0
26,Фили,22,0,0,,,10,730.0,780.0,2,840.0,840.0,12,730.0,840.0,6,550.0,700.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,4,1,0.0,0,126,0,0,0,,,,,4,0,0,126,0
27,Кутузовская,18,0,0,,,4,720.0,750.0,5,540.0,820.0,9,540.0,820.0,3,560.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,6,1,0.0,0,137,0,0,0,,,,,5,1,1,134,3
28,Студенческая,13,0,0,,,3,730.0,760.0,3,830.0,830.0,6,730.0,830.0,3,550.0,850.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,4,1,0.0,0,92,0,0,0,,,,,4,0,0,92,0
29,Смоленская,12,0,0,,,2,730.0,750.0,2,830.0,850.0,4,730.0,850.0,2,550.0,550.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,6,1,0.0,0,111,0,0,0,,,,,5,1,1,90,21
30,Арбатская,11,0,0,,,3,750.0,750.0,0,,,3,750.0,750.0,2,550.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,6,1,2.0,1,93,0,0,0,,,,,3,1,3,78,15
31,Международная,6,1,1,1000.0,1000.0,1,830.0,830.0,1,950.0,950.0,2,830.0,950.0,1,780.0,780.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,2,1,1.0,1,11,0,0,0,,,,,1,1,1,10,1
32,Выставочная - Деловой центр,56,12,1,950.0,1000.0,10,800.0,1000.0,12,860.0,1000.0,22,800.0,1000.0,5,780.0,1000.0,1,1,0,1,1,0,1,1,880.0,880.0,5,1,2.0,1,2,7.0,18.0,11,1,0.0,0,163,0,0,0,,,,,8,1,3,142,21
33,Улица Старокачаловская - Бульвар Дмитрия Донского,57,0,0,,,11,740.0,740.0,11,800.0,830.0,22,740.0,830.0,5,800.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,30,1,10.0,1,586,12,1,331,300.0,900.0,32.0,38.0,20,1,10,573,13
34,Улица Скобелевская,12,2,1,1000.0,1000.0,4,800.0,1700.0,2,830.0,830.0,6,800.0,1700.0,2,840.0,840.0,1,1,1,0,1,1,0,1,900.0,900.0,1,1,1.0,1,0,3.0,3.0,0,0,,0,0,0,0,0,,,,,0,0,0,0,0
35,Бульвар адмирала Ушакова,8,1,1,980.0,980.0,3,800.0,1500.0,1,830.0,830.0,4,800.0,1500.0,1,800.0,800.0,1,1,1,0,1,1,0,1,800.0,800.0,0,0,,0,0,,,1,1,0.0,0,3,0,0,0,,,,,0,1,1,0,3
36,Улица Горчакова,10,1,1,1000.0,1000.0,3,830.0,1500.0,2,800.0,860.0,5,800.0,1500.0,1,840.0,840.0,1,1,1,0,1,1,0,1,800.0,800.0,1,1,1.0,1,0,2.0,2.0,1,1,0.0,0,3,0,0,0,,,,,0,1,1,0,3
37,Бунинская аллея,11,1,1,1000.0,1000.0,3,780.0,1500.0,2,800.0,820.0,5,780.0,1500.0,1,800.0,800.0,1,1,1,0,1,1,0,1,800.0,800.0,1,1,1.0,1,0,2.0,2.0,2,1,0.0,0,6,0,0,0,,,,,0,1,2,0,6
38,Речной вокзал,16,2,1,950.0,950.0,8,720.0,720.0,0,,,8,720.0,720.0,4,550.0,790.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,2,1,0.0,0,85,0,0,0,,,,,2,0,0,85,0
39,Водный стадион,16,2,1,950.0,950.0,8,720.0,720.0,0,,,8,720.0,720.0,4,530.0,790.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,2,1,0.0,0,87,2,1,87,310.0,770.0,42.0,45.0,2,0,0,87,0
40,Войковская,22,0,0,,,6,720.0,720.0,1,835.0,835.0,7,720.0,835.0,3,550.0,790.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,12,1,3.0,1,228,4,1,99,300.0,820.0,36.0,49.0,9,1,3,225,3
41,Сокол,34,0,0,,,6,720.0,850.0,5,830.0,930.0,11,720.0,930.0,3,550.0,790.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,27.0,27.0,19,1,4.0,1,315,9,1,189,290.0,850.0,36.0,36.0,15,1,4,310,5
42,Аэропорт,28,1,1,950.0,950.0,6,720.0,720.0,6,830.0,830.0,12,720.0,830.0,2,790.0,790.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,13,1,0.0,0,280,2,1,59,300.0,620.0,36.0,36.0,13,1,0,278,2
43,Динамо,17,2,1,950.0,950.0,8,720.0,720.0,0,,,8,720.0,720.0,2,790.0,790.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,5,1,1.0,1,39,0,0,0,,,,,1,1,4,9,30
44,Белорусская,33,4,1,950.0,950.0,14,720.0,800.0,0,,,14,720.0,800.0,3,550.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,12,1,3.0,1,190,3,1,38,320.0,970.0,36.0,36.0,8,1,4,182,8
45,Маяковская,20,3,1,950.0,950.0,6,750.0,850.0,0,,,6,750.0,850.0,3,790.0,790.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,8,1,1.0,1,152,5,1,111,330.0,900.0,36.0,45.0,6,1,2,103,49
46,Тверская - Пушкинская - Чеховская,55,11,1,950.0,950.0,9,720.0,720.0,0,,,9,720.0,720.0,5,550.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,30,1,5.0,1,487,6,1,139,310.0,880.0,36.0,36.0,25,1,5,477,10
47,Новокузнецкая - Третьяковская,30,6,1,950.0,950.0,10,720.0,720.0,0,,,10,720.0,720.0,5,570.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,9,1,2.0,1,145,1,1,31,320.0,680.0,36.0,36.0,7,1,2,130,15
48,Павелецкая,34,3,1,950.0,950.0,10,720.0,740.0,4,830.0,830.0,14,720.0,830.0,6,540.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,11,1,4.0,1,151,1,1,9,310.0,560.0,36.0,36.0,7,1,4,134,17
49,Автозаводская,18,2,1,950.0,950.0,6,720.0,720.0,1,830.0,830.0,7,720.0,830.0,3,540.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,6,1,2.0,1,72,2,1,63,310.0,820.0,36.0,36.0,2,1,4,63,9
50,Коломенская,32,0,0,,,8,720.0,720.0,8,830.0,830.0,16,720.0,830.0,4,540.0,790.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,12,1,2.0,1,267,7,1,178,310.0,830.0,36.0,36.0,10,1,2,265,2
51,Каширская,43,4,1,950.0,950.0,12,720.0,720.0,0,,,12,720.0,720.0,8,540.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,19,1,2.0,1,285,8,1,192,320.0,710.0,36.0,36.0,12,1,7,212,73
52,Кантемировская,22,0,0,,,8,720.0,720.0,0,,,8,720.0,720.0,4,540.0,790.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,18.0,18.0,9,1,1.0,1,241,6,1,172,320.0,870.0,36.0,42.0,8,1,1,240,1
53,Царицыно,30,2,1,950.0,950.0,8,720.0,720.0,1,830.0,830.0,9,720.0,830.0,4,520.0,790.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,15,1,4.0,1,291,7,1,143,320.0,830.0,27.0,36.0,10,1,5,278,13
54,Орехово,20,1,1,950.0,950.0,8,720.0,720.0,0,,,8,720.0,720.0,4,550.0,1000.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,32.0,32.0,6,1,2.0,1,79,2,1,48,330.0,880.0,36.0,42.0,3,1,3,73,6
55,Домодедовская,37,1,1,950.0,950.0,6,720.0,720.0,0,,,6,720.0,720.0,3,550.0,790.0,0,0,0,0,0,0,0,0,,,2,1,0.0,0,2,9.0,9.0,25,1,10.0,1,473,8,1,237,400.0,1050.0,36.0,36.0,15,1,10,463,10
56,Красногвардейская - Зябликово,58,4,1,950.0,950.0,16,720.0,900.0,1,835.0,835.0,17,720.0,900.0,6,800.0,800.0,4,1,2,4,2,1,1,1,800.0,850.0,0,0,,0,0,,,27,1,3.0,1,643,14,1,373,320.0,970.0,36.0,36.0,24,1,3,640,3
57,Алма-Атинская,23,1,1,950.0,950.0,8,900.0,900.0,1,1000.0,1000.0,9,900.0,1000.0,3,800.0,800.0,2,1,1,2,1,1,1,1,900.0,900.0,3,1,1.0,1,2,3.0,11.0,5,1,1.0,1,77,1,1,41,410.0,900.0,32.0,32.0,4,1,1,76,1
58,Новокосино,48,0,0,,,10,910.0,950.0,11,910.0,1010.0,21,910.0,1010.0,2,800.0,800.0,6,1,4,6,2,1,1,1,900.0,900.0,5,1,3.0,1,2,5.0,9.0,14,1,5.0,1,265,0,0,0,,,,,8,1,6,253,12
59,Новогиреево,31,1,1,900.0,900.0,4,720.0,720.0,4,835.0,835.0,8,720.0,835.0,4,550.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,18,1,8.0,1,340,6,1,199,320.0,900.0,29.0,40.0,10,1,8,327,13
60,Перово,31,0,0,,,4,720.0,720.0,4,830.0,830.0,8,720.0,830.0,4,550.0,800.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,32.0,32.0,18,1,7.0,1,333,8,1,243,320.0,820.0,27.0,34.0,11,1,7,322,11
61,Шоссе Энтузиастов,14,1,1,900.0,900.0,3,735.0,735.0,1,840.0,840.0,4,735.0,840.0,1,1000.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,8,1,3.0,1,164,1,1,29,290.0,690.0,27.0,27.0,5,1,3,159,5
62,Авиамоторная,23,1,1,900.0,900.0,2,740.0,740.0,2,840.0,840.0,4,740.0,840.0,2,550.0,900.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,16,1,4.0,1,286,5,1,114,280.0,950.0,27.0,34.0,11,1,5,274,12
63,Площадь Ильича - Римская,25,3,1,900.0,950.0,3,720.0,720.0,3,830.0,830.0,6,720.0,830.0,3,550.0,1000.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,32.0,32.0,12,1,0.0,0,198,4,1,100,290.0,860.0,31.0,34.0,7,1,5,175,23
64,Марксистская - Таганская,37,7,1,900.0,950.0,5,740.0,750.0,6,840.0,860.0,11,740.0,860.0,4,550.0,850.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,40.0,40.0,14,1,2.0,1,265,1,1,36,410.0,890.0,32.0,32.0,10,1,4,241,24
65,Медведково,19,1,1,1000.0,1000.0,4,740.0,750.0,4,830.0,830.0,8,740.0,830.0,3,550.0,800.0,0,0,0,0,0,0,0,0,,,2,1,0.0,0,0,21.0,36.0,5,1,3.0,1,41,1,1,30,320.0,790.0,40.0,40.0,2,1,3,36,5
66,Бабушкинская,26,1,1,1000.0,1000.0,4,740.0,750.0,8,820.0,830.0,12,740.0,830.0,4,560.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,9,1,2.0,1,236,3,1,101,310.0,779.0,32.0,40.0,7,1,2,233,3
67,Свиблово,23,0,0,,,4,740.0,740.0,4,830.0,830.0,8,740.0,830.0,4,550.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,11,1,4.0,1,239,4,1,154,320.0,890.0,36.0,36.0,7,1,4,231,8
68,Ботанический сад,18,1,1,1000.0,1000.0,4,740.0,740.0,4,830.0,830.0,8,740.0,830.0,2,800.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,7,1,3.0,1,118,2,1,65,370.0,830.0,36.0,36.0,4,1,3,112,6
69,ВДНХ,27,2,1,900.0,1000.0,8,740.0,800.0,4,830.0,920.0,12,740.0,920.0,3,550.0,1100.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,10,1,2.0,1,208,2,1,82,410.0,1000.0,36.0,36.0,8,1,2,206,2
70,Алексеевская,8,1,1,1000.0,1000.0,2,740.0,740.0,2,830.0,830.0,4,740.0,830.0,1,1100.0,1100.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,2,1,1.0,1,4,0,0,0,,,,,0,1,2,0,4
71,Рижская,6,1,1,1000.0,1000.0,2,740.0,740.0,2,830.0,830.0,4,740.0,830.0,1,1000.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,0,0,0,0,0
72,Проспект Мира,20,3,1,1000.0,1000.0,6,700.0,750.0,4,820.0,850.0,10,700.0,850.0,3,540.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,4,1,2.0,1,30,0,0,0,,,,,2,1,2,29,1
73,Сухаревская,15,1,1,1000.0,1000.0,3,740.0,740.0,2,830.0,830.0,5,740.0,830.0,1,900.0,900.0,0,0,0,0,0,0,0,0,,,1,1,1.0,1,1,5.0,5.0,7,1,2.0,1,129,4,1,93,300.0,900.0,29.0,31.0,5,1,2,127,2
74,Тургеневская - Чистые пруды - Сретенский бульвар,42,7,1,900.0,950.0,5,720.0,850.0,4,830.0,930.0,9,720.0,930.0,5,550.0,970.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,21,1,6.0,1,349,5,1,121,285.0,950.0,36.0,36.0,13,1,8,334,15
75,Китай-город,57,3,1,990.0,1000.0,5,740.0,740.0,5,830.0,830.0,10,740.0,830.0,3,800.0,800.0,0,0,0,0,0,0,0,0,,,3,1,0.0,0,0,7.0,9.0,38,1,9.0,1,532,0,0,0,,,,,24,1,14,466,66
76,Октябрьская,21,3,1,950.0,950.0,6,720.0,750.0,4,800.0,860.0,10,720.0,860.0,3,780.0,1000.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,1,18.0,18.0,4,1,0.0,0,73,0,0,0,,,,,4,0,0,73,0
77,Шаболовская,9,1,1,1000.0,1000.0,2,740.0,740.0,2,830.0,830.0,4,740.0,830.0,2,570.0,750.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,2,1,2.0,1,2,0,0,0,,,,,0,1,2,0,2
78,Ленинский проспект,12,2,1,1000.0,1000.0,4,740.0,740.0,4,830.0,830.0,8,740.0,830.0,2,1000.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,0,0,,0,0,0,0,0,,,,,0,0,0,0,0
79,Академическая,26,1,1,950.0,950.0,4,740.0,740.0,4,830.0,850.0,8,740.0,850.0,2,850.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,15,1,4.0,1,270,2,1,53,290.0,760.0,40.0,45.0,11,1,4,264,6
80,Профсоюзная,26,0,0,,,4,740.0,740.0,8,830.0,830.0,12,740.0,830.0,2,800.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,12,1,2.0,1,257,6,1,147,300.0,780.0,31.0,40.0,10,1,2,255,2
81,Новые Черемушки,36,0,0,,,4,740.0,740.0,7,820.0,830.0,11,740.0,830.0,3,780.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,22,1,12.0,1,274,4,1,106,310.0,780.0,31.0,40.0,10,1,12,259,15
82,Калужская,30,2,1,950.0,950.0,4,730.0,760.0,4,830.0,850.0,8,730.0,850.0,2,550.0,800.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,32.0,32.0,17,1,1.0,1,422,6,1,193,300.0,820.0,27.0,32.0,12,1,5,407,15
83,Беляево,24,1,1,1000.0,1000.0,4,740.0,740.0,4,820.0,830.0,8,740.0,830.0,3,550.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,12,1,3.0,1,277,4,1,126,310.0,780.0,31.0,36.0,9,1,3,272,5
84,Коньково,34,0,0,,,4,740.0,750.0,13,820.0,830.0,17,740.0,830.0,4,540.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,13,1,1.0,1,399,6,1,198,320.0,1030.0,32.0,40.0,12,1,1,390,9
85,Теплый Стан,37,0,0,,,4,740.0,740.0,13,820.0,980.0,17,740.0,980.0,4,540.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,16,1,5.0,1,349,5,1,158,270.0,840.0,32.0,36.0,11,1,5,334,15
86,Ясенево,30,0,0,,,3,740.0,740.0,7,820.0,830.0,10,740.0,830.0,4,550.0,1000.0,0,0,0,0,0,0,0,0,,,1,1,0.0,0,0,32.0,32.0,15,1,5.0,1,271,9,1,259,310.0,910.0,31.0,36.0,10,1,5,263,8
87,Новоясеневская - Битцевский парк,34,0,0,,,8,750.0,900.0,3,820.0,830.0,11,750.0,900.0,5,530.0,1000.0,2,1,2,1,1,1,1,1,900.0,900.0,2,1,2.0,1,0,3.0,5.0,13,1,0.0,0,293,10,1,245,410.0,950.0,31.0,40.0,12,1,1,292,1
88,Варшавская,34,2,1,1000.0,1000.0,9,740.0,950.0,5,830.0,830.0,14,740.0,950.0,4,540.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,14,1,3.0,1,332,4,1,137,300.0,830.0,36.0,47.0,10,1,4,325,7
89,Каховская - Севастопольская,50,1,1,1000.0,1000.0,6,720.0,720.0,14,820.0,830.0,20,720.0,830.0,6,550.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,23,1,6.0,1,497,4,1,114,300.0,870.0,32.0,36.0,16,1,7,434,63
90,Новослободская - Менделеевская,24,3,1,950.0,950.0,3,750.0,860.0,3,780.0,840.0,6,750.0,860.0,3,530.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,12,1,0.0,0,261,2,1,62,390.0,860.0,36.0,36.0,10,1,2,252,9
91,Комсомольская,44,4,1,950.0,950.0,10,700.0,830.0,6,820.0,930.0,16,700.0,930.0,5,540.0,1000.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,19,1,2.0,1,342,7,1,145,290.0,775.0,34.0,49.0,13,1,6,311,31
92,Добрынинская - Серпуховская,22,3,1,900.0,950.0,4,720.0,850.0,4,830.0,920.0,8,720.0,920.0,4,780.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,7,1,0.0,0,135,3,1,68,290.0,785.0,36.0,36.0,5,1,2,126,9
93,Парк культуры,20,2,1,900.0,900.0,4,720.0,740.0,2,835.0,870.0,6,720.0,870.0,4,550.0,980.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,8,1,0.0,0,164,0,0,0,,,,,7,1,1,125,39
94,Краснопресненская - Баррикадная,15,2,1,1000.0,1000.0,4,730.0,750.0,4,830.0,850.0,8,730.0,850.0,2,600.0,900.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,3,1,2.0,1,32,0,0,0,,,,,1,1,2,24,8
95,Марьина Роща,48,2,1,950.0,950.0,14,730.0,1000.0,8,740.0,900.0,22,730.0,1000.0,2,800.0,800.0,2,1,2,2,0,1,1,0,900.0,900.0,7,1,7.0,1,6,7.0,11.0,13,1,2.0,1,194,4,1,98,305.0,1200.0,32.0,40.0,11,1,2,192,2
96,Достоевская,21,1,1,950.0,950.0,4,820.0,1000.0,1,930.0,930.0,5,820.0,1000.0,1,800.0,800.0,1,1,1,1,0,1,1,0,900.0,900.0,3,1,1.0,1,1,9.0,27.0,10,1,3.0,1,117,4,1,83,410.0,890.0,32.0,38.0,7,1,3,114,3
97,Трубная - Цветной бульвар,24,3,1,900.0,950.0,5,720.0,720.0,4,830.0,830.0,9,720.0,830.0,4,550.0,800.0,0,0,0,0,0,0,0,0,,,0,0,,0,0,,,8,1,3.0,1,101,0,0,0,,,,,5,1,3,98,3
