fromStation,toStation,fromStation_en,toStation_en,transferId,fromId,toId,nodeId,minWidth,minStairs,minRailsStairs,lift,liftStairsEconomy,minRailsWidth,maxRailsWidth,maxAngle,maxSlope,minStairways,wheelchairFriendlyRoutes,handicappedFriendlyRoutes,luggageFriendlyRoutes,minLiftStairs,lineId,line
Новокузнецкая,Третьяковская (Калининско-Солнцевская),Novokuznetskaya,Tretyakovskaya (Kalininsko-Solntsevskaya),31-85,31,85,47,950,22,22,0,0,0,0,0,0,1,0,0,0,22,2,Замоскворецкая
Третьяковская (Калужско-Рижская),Новокузнецкая,Tretyakovskaya (Kalujsko-Rijskaya),Novokuznetskaya,31-97,97,31,47,950,22,22,0,0,0,0,0,0,1,0,0,0,22,6,Калужско-Рижская
Третьяковская (Калужско-Рижская),Третьяковская (Калининско-Солнцевская),Tretyakovskaya (Kalujsko-Rijskaya),Tretyakovskaya (Kalininsko-Solntsevskaya),85-97,97,31,47,950,0,0,0,0,0,0,0,0,0,1,1,1,0,6,Калужско-Рижская
Третьяковская (Калининско-Солнцевская),Новокузнецкая,Tretyakovskaya (Kalininsko-Solntsevskaya),Novokuznetskaya,31-85,85,31,47,950,22,22,0,0,0,0,0,0,1,0,0,0,22,8,Калининско-Солнцевская
Третьяковская (Калининско-Солнцевская),Третьяковская (Калужско-Рижская),Tretyakovskaya (Kalininsko-Solntsevskaya),Tretyakovskaya (Kalujsko-Rijskaya),85-97,85,31,47,950,0,0,0,0,0,0,0,0,0,1,1,1,0,8,Калининско-Солнцевская
Павелецкая (Замоскворецкая),Павелецкая (Кольцевая),Paveletskaya (Zamoskvoretskaya),Paveletskaya (Koltsevaya),30-73,30,73,48,950,0,0,0,0,0,0,0,0,2,0,1,1,0,2,Замоскворецкая
Павелецкая (Кольцевая),Павелецкая (Замоскворецкая),Paveletskaya (Koltsevaya),Paveletskaya (Zamoskvoretskaya),30-73,73,30,48,950,0,0,0,0,0,0,0,0,2,0,1,1,0,5,Кольцевая
Каширская (Замоскворецкая),Каширская (Каховская),Kashirskaya (Zamoskvoretskaya),Kashirskaya (Kakhovskaya),25-226,226,25,51,1000,0,0,0,0,0,0,0,0,0,1,1,1,0,2,Замоскворецкая
Каширская (Каховская),Каширская (Замоскворецкая),Kashirskaya (Kakhovskaya),Kashirskaya (Zamoskvoretskaya),25-226,25,226,51,1000,0,0,0,0,0,0,0,0,0,1,1,1,0,11,Каховская
Красногвардейская,Зябликово,Krasnogvardeyskaya,Zyablikovo,20-222,20,222,56,800,52,27,1,27,410,970,20,36.4,0,0,0,1,25,2,Замоскворецкая
Зябликово,Красногвардейская,Zyablikovo,Krasnogvardeyskaya,20-222,222,20,56,800,52,27,1,27,410,970,20,36.4,0,0,0,1,25,10,Люблинско-Дмитровская
Площадь Ильича,Римская,Ploschad Ilyicha,Rimskaya,83-152,83,152,63,950,19,19,0,0,0,0,0,0,1,0,0,0,19,8,Калининско-Солнцевская
Римская,Площадь Ильича,Rimskaya,Ploschad Ilyicha,83-152,152,83,63,950,19,19,0,0,0,0,0,0,1,0,0,0,19,10,Люблинско-Дмитровская
Таганская (Таганско-Краснопресненская),Марксистская,Taganskaya (Tagansko-Krasnopresnenskaya),Marksistskaya,84-116,116,84,64,900,42,42,0,0,0,0,0,0,1,0,0,0,42,7,Таганско-Краснопресненская
Таганская (Таганско-Краснопресненская),Таганская (Кольцевая),Taganskaya (Tagansko-Krasnopresnenskaya),Taganskaya (Koltsevaya),72-116,116,72,64,900,23,23,0,0,0,0,0,0,1,0,0,0,23,7,Таганско-Краснопресненская
Марксистская,Таганская (Таганско-Краснопресненская),Marksistskaya,Taganskaya (Tagansko-Krasnopresnenskaya),84-116,84,116,64,900,42,42,0,0,0,0,0,0,1,0,0,0,42,8,Калининско-Солнцевская
Марксистская,Таганская (Кольцевая),Marksistskaya,Taganskaya (Koltsevaya),72-84,84,72,64,900,22,22,0,0,0,0,0,0,1,0,0,0,22,8,Калининско-Солнцевская
Таганская (Кольцевая),Таганская (Таганско-Краснопресненская),Taganskaya (Koltsevaya),Taganskaya (Tagansko-Krasnopresnenskaya),72-116,72,116,64,900,23,23,0,0,0,0,0,0,1,0,0,0,23,5,Кольцевая
Таганская (Кольцевая),Марксистская,Taganskaya (Koltsevaya),Marksistskaya,72-84,72,84,64,900,22,22,0,0,0,0,0,0,1,0,0,0,22,5,Кольцевая
Проспект Мира (Калужско-Рижская),Проспект Мира (Кольцевая),Prospekt Mira (Kalujsko-Rijskaya),Prospekt Mira (Koltsevaya),69-93,69,93,72,1000,28,28,0,0,0,0,0,0,1,0,0,0,28,5,Кольцевая
Проспект Мира (Кольцевая),Проспект Мира (Калужско-Рижская),Prospekt Mira (Koltsevaya),Prospekt Mira (Kalujsko-Rijskaya),69-93,93,69,72,1000,28,28,0,0,0,0,0,0,1,0,0,0,28,6,Калужско-Рижская
Чистые Пруды,Сретенский бульвар,Chistye Prudy,Sretensky Bulvar,8-219,8,219,74,900,26,26,0,0,0,0,0,0,1,0,0,0,26,1,Сокольническая
