stationId,lineId,nodeId,stationName,stationName_en,lineName,routesIn,routesOut,minTaper,maxTaper,minStairs,avStairs,maxStairs,minRailsStairs,avRailsStairs,maxRailsStairs,lift,minLiftAmount,maxLiftAmount,minLiftStairs,avLiftStairs,maxLiftStairs,minStairways,maxStairways,stairwayAvailableRoutesIn,stairwayAvailableRoutesOut,stairwayAvailableRoutesAmount,liftAvailableRoutesIn,liftAvailableRoutesOut,liftAvailableRoutesAmount,wheelchairFriendlyRoutes,wheelchairFriendlyRoutesIn,wheelchairFriendlyRoutesOut,wheelchairFriendlyRoutesAmount,handicappedFriendlyRoutes,handicappedFriendlyRoutesIn,handicappedFriendlyRoutesOut,handicappedFriendlyRoutesAmount,luggageFriendlyRoutes,luggageFriendlyRoutesIn,luggageFriendlyRoutesOut,luggageFriendlyRoutesAmount
40,2,39,Водный стадион,Vodny Stadion,Замоскворецкая,2,2,530,720.0,0.0,22,44.0,0.0,0,0.0,0,0.0,0.0,0,22,44,0,1.0,0,2,2,0,0,0,0,0,0,0,1,0,2,2,1,1,0,1
41,2,38,Речной вокзал,Rechnoy Vokzal,Замоскворецкая,2,2,550,720.0,0.0,10,42.0,0.0,10,42.0,0,0.0,0.0,0,10,42,0,1.0,1,2,3,0,0,0,0,0,0,0,1,1,2,3,1,1,1,2
42,3,11,Киевская,Kievskaya,Арбатско-Покровская,5,5,740,740.0,22.0,42,70.0,22.0,42,70.0,0,0.0,0.0,22,42,70,1,1.0,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3,12,Смоленская,Smolenskaya,Арбатско-Покровская,1,1,750,750.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
44,3,13,Арбатская,Arbatskaya,Арбатско-Покровская,8,8,550,800.0,0.0,62,88.0,0.0,40,60.0,0,0.0,0.0,0,62,88,1,1.0,8,8,16,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
45,3,14,Площадь Революции,Ploschad Revolyutsii,Арбатско-Покровская,2,2,700,700.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,1.0,2,2,4,0,0,0,0,0,0,0,1,2,2,4,1,2,2,4
46,3,15,Курская,Kurskaya,Арбатско-Покровская,5,5,730,800.0,0.0,24,47.0,0.0,15,47.0,0,0.0,0.0,0,24,47,1,1.0,5,5,10,0,0,0,0,0,0,0,1,1,1,2,1,2,2,4
47,3,16,Бауманская,Baumanskaya,Арбатско-Покровская,1,1,720,720.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
48,3,17,Электрозаводская,Elektrozavodskaya,Арбатско-Покровская,1,1,700,720.0,1.0,1,1.0,1.0,1,1.0,0,0.0,0.0,1,1,1,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
49,3,18,Семеновская,Semyonovskaya,Арбатско-Покровская,1,1,680,800.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,0,1
50,3,19,Партизанская,Partizanskaya,Арбатско-Покровская,1,1,710,710.0,66.0,66,66.0,66.0,66,66.0,0,0.0,0.0,66,66,66,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,3,20,Измайловская,Izmaylovskaya,Арбатско-Покровская,7,7,600,710.0,39.0,46,51.0,24.0,35,47.0,0,0.0,0.0,39,46,51,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,3,21,Первомайская,Pervomayskaya,Арбатско-Покровская,4,4,700,710.0,52.0,53,54.0,24.0,24,25.0,0,0.0,0.0,52,53,54,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,3,22,Щелковская,Schyolkovskaya,Арбатско-Покровская,6,6,710,710.0,50.0,52,54.0,24.0,43,54.0,0,0.0,0.0,50,52,54,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,4,13,Александровский сад,Aleksandrovsky Sad,Филевская,7,7,550,800.0,41.0,79,103.0,41.0,55,74.0,0,0.0,0.0,41,79,103,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,4,30,Арбатская,Arbatskaya,Филевская,2,1,550,750.0,67.0,67,68.0,67.0,67,68.0,0,0.0,0.0,67,67,68,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,4,29,Смоленская,Smolenskaya,Филевская,1,1,550,550.0,55.0,56,56.0,55.0,56,56.0,0,0.0,0.0,55,55,55,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,4,11,Киевская,Kievskaya,Филевская,9,9,740,740.0,54.0,68,93.0,18.0,41,72.0,0,0.0,0.0,54,68,93,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,4,28,Студенческая,Studencheskaya,Филевская,1,2,550,730.0,24.0,24,24.0,24.0,24,24.0,0,0.0,0.0,24,24,24,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,4,27,Кутузовская,Kutuzovskaya,Филевская,2,2,540,800.0,33.0,35,37.0,33.0,35,37.0,0,0.0,0.0,33,35,37,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,4,26,Фили,Fili,Филевская,2,4,550,700.0,29.0,32,34.0,29.0,32,34.0,0,0.0,0.0,29,32,34,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,4,25,Багратионовская,Bagrationovskaya,Филевская,2,2,550,560.0,28.0,28,28.0,28.0,28,28.0,0,0.0,0.0,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,4,24,Филевский парк,Filyovsky Park,Филевская,2,2,530,550.0,29.0,31,33.0,29.0,31,33.0,0,0.0,0.0,29,31,33,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,4,23,Пионерская,Pionerskaya,Филевская,2,2,550,550.0,28.0,28,28.0,28.0,28,28.0,0,0.0,0.0,28,28,28,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,4,8,Кунцевская,Kuntsevskaya,Филевская,2,2,550,550.0,29.0,30,32.0,29.0,30,32.0,0,0.0,0.0,29,30,32,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,3,7,Молодежная,Molodyojnaya,Арбатско-Покровская,2,2,730,730.0,0.0,22,47.0,0.0,22,47.0,0,0.0,0.0,0,22,47,0,1.0,0,2,2,0,0,0,0,0,0,0,1,0,2,2,1,0,2,2
66,3,6,Крылатское,Krilatskoye,Арбатско-Покровская,8,8,740,740.0,26.0,32,39.0,0.0,8,32.0,0,0.0,0.0,26,32,39,1,1.0,8,8,16,0,0,0,0,0,0,0,0,0,0,0,1,6,6,12
67,5,44,Белорусская,Belorusskaya,Кольцевая,3,3,550,800.0,0.0,36,73.0,0.0,24,63.0,0,0.0,0.0,0,36,73,1,1.0,3,3,6,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
68,5,90,Новослободская,Novoslobodskaya,Кольцевая,1,1,860,860.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
69,5,72,Проспект Мира,Prospekt Mira,Кольцевая,1,1,750,750.0,0.0,0,1.0,0.0,0,1.0,0,0.0,0.0,0,0,1,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
70,5,91,Комсомольская,Komsomolskaya,Кольцевая,11,5,540,750.0,24.0,50,76.0,0.0,25,52.0,0,0.0,0.0,24,50,76,1,2.0,11,5,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
71,5,15,Курская,Kurskaya,Кольцевая,7,7,600,800.0,0.0,34,66.0,0.0,22,66.0,0,0.0,0.0,0,34,66,1,1.0,7,7,14,0,0,0,0,0,0,0,1,2,2,4,1,3,2,5
72,5,64,Таганская,Taganskaya,Кольцевая,1,1,750,750.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,2,2.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
73,5,48,Павелецкая,Paveletskaya,Кольцевая,2,2,560,720.0,1.0,1,1.0,1.0,1,1.0,0,0.0,0.0,1,1,1,1,1.0,2,2,4,0,0,0,0,0,0,0,1,2,2,4,1,2,0,2
74,5,92,Добрынинская,Dobryninskaya,Кольцевая,1,1,780,800.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
75,5,76,Октябрьская,Oktyabrskaya,Кольцевая,2,2,720,750.0,0.0,2,7.0,0.0,0,0.0,0,0.0,0.0,0,2,7,1,1.0,2,2,4,0,0,0,0,0,0,0,1,1,1,2,1,2,2,4
76,5,93,Парк культуры,Park Kultury,Кольцевая,1,1,740,740.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
77,5,11,Киевская,Kievskaya,Кольцевая,9,9,740,740.0,0.0,32,56.0,0.0,26,56.0,0,0.0,0.0,0,32,56,1,2.0,9,9,18,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1
78,5,94,Краснопресненская,Krasnopresnenskaya,Кольцевая,1,1,600,750.0,2.0,2,2.0,2.0,2,2.0,0,0.0,0.0,2,2,2,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,0,1,1
79,8,59,Новогиреево,Novogireevo,Калининско-Солнцевская,8,8,720,720.0,35.0,53,65.0,1.0,22,62.0,0,0.0,0.0,35,53,65,0,1.0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,2,5,7
80,8,60,Перово,Perovo,Калининско-Солнцевская,8,8,720,720.0,57.0,60,65.0,24.0,30,59.0,0,0.0,0.0,57,60,65,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,8,61,Шоссе Энтузиастов,Shosse Entuziastov,Калининско-Солнцевская,4,4,735,735.0,40.0,44,48.0,15.0,37,48.0,0,0.0,0.0,40,44,48,1,1.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,8,62,Авиамоторная,Aviamotornaya,Калининско-Солнцевская,9,9,740,740.0,41.0,42,44.0,10.0,28,44.0,0,0.0,0.0,41,42,44,1,1.0,9,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,8,63,Площадь Ильича,Ploschad Ilyicha,Калининско-Солнцевская,4,4,720,720.0,37.0,38,40.0,10.0,17,38.0,0,0.0,0.0,37,38,40,1,1.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,8,64,Марксистская,Marksistskaya,Калининско-Солнцевская,2,2,550,700.0,42.0,44,46.0,6.0,24,42.0,0,0.0,0.0,42,44,46,1,1.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,8,47,Третьяковская,Tretyakovskaya,Калининско-Солнцевская,1,1,570,570.0,32.0,32,32.0,1.0,1,1.0,0,0.0,0.0,32,32,32,1,1.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,6,65,Медведково,Medvedkovo,Калужско-Рижская,3,3,740,750.0,2.0,18,32.0,0.0,1,2.0,0,0.0,0.0,2,18,32,0,1.0,1,1,2,0,0,0,0,0,0,0,1,0,1,1,1,3,3,6
87,6,66,Бабушкинская,Babushkinskaya,Калужско-Рижская,6,6,740,750.0,33.0,51,67.0,0.0,28,37.0,0,0.0,0.0,33,51,67,0,1.0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
88,6,67,Свиблово,Sviblobo,Калужско-Рижская,5,5,740,740.0,57.0,62,65.0,25.0,31,57.0,0,0.0,0.0,57,62,65,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,6,68,Ботанический сад,Botanichesky Sad,Калужско-Рижская,4,4,740,740.0,1.0,33,57.0,1.0,20,50.0,0,0.0,0.0,1,33,57,0,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
90,6,69,ВДНХ,V.D.N.Ha,Калужско-Рижская,5,5,800,800.0,0.0,43,69.0,0.0,30,64.0,0,0.0,0.0,0,43,69,1,1.0,5,5,10,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
91,6,70,Алексеевская,Alekseevskaya,Калужско-Рижская,1,1,740,740.0,1.0,2,3.0,1.0,2,3.0,0,0.0,0.0,1,2,3,1,1.0,1,1,2,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1
92,6,71,Рижская,Rijskaya,Калужско-Рижская,1,1,740,740.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
93,6,72,Проспект Мира,Prospekt Mira,Калужско-Рижская,1,1,540,740.0,1.0,1,1.0,1.0,1,1.0,0,0.0,0.0,1,1,1,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,0,1
94,6,73,Сухаревская,Sukharevskaya,Калужско-Рижская,4,4,740,740.0,35.0,38,42.0,0.0,9,34.0,0,0.0,0.0,35,38,42,1,1.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6
95,6,74,Тургеневская,Turgenevskaya,Калужско-Рижская,8,8,550,850.0,22.0,41,56.0,1.0,30,53.0,0,0.0,0.0,22,41,56,1,2.0,8,8,16,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
96,6,75,Китай-город,Kitay-Gorod,Калужско-Рижская,15,15,740,740.0,6.0,49,73.0,6.0,48,73.0,0,0.0,0.0,6,49,73,1,1.0,15,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,6,47,Третьяковская,Tretyakovskaya,Калужско-Рижская,1,1,570,570.0,32.0,32,32.0,1.0,1,1.0,0,0.0,0.0,32,32,32,1,1.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,6,76,Октябрьская,Oktyabrskaya,Калужско-Рижская,1,1,720,730.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
99,6,77,Шаболовская,Shabolovskaya,Калужско-Рижская,1,1,570,740.0,2.0,2,3.0,2.0,2,3.0,0,0.0,0.0,2,2,3,1,1.0,1,1,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
100,6,78,Ленинский проспект,Leninsky Prospekt,Калужско-Рижская,2,2,740,740.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,1.0,2,2,4,0,0,0,0,0,0,0,1,2,2,4,1,2,2,4
101,6,79,Академическая,Akademicheskaya,Калужско-Рижская,8,8,740,740.0,31.0,47,61.0,23.0,43,61.0,0,0.0,0.0,31,47,61,0,1.0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,6,80,Профсоюзная,Profsoyuznaya,Калужско-Рижская,8,8,740,740.0,47.0,50,53.0,0.0,14,29.0,0,0.0,0.0,47,51,56,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,8
103,6,81,Новые Черемушки,Novye Cheremushki,Калужско-Рижская,8,8,740,740.0,52.0,53,54.0,26.0,39,54.0,0,0.0,0.0,52,53,54,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,6,82,Калужская,Kalujskaya,Калужско-Рижская,10,10,550,760.0,30.0,58,84.0,0.0,38,81.0,0,0.0,0.0,30,58,84,0,1.0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
105,6,83,Беляево,Belyayevo,Калужско-Рижская,8,8,740,740.0,28.0,43,59.0,0.0,28,53.0,0,0.0,0.0,28,43,59,0,1.0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4
106,6,84,Коньково,Konkovo,Калужско-Рижская,10,10,740,740.0,54.0,60,68.0,0.0,33,62.0,0,0.0,0.0,54,60,68,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4
107,6,85,Теплый Стан,Tyoply Stan,Калужско-Рижская,9,9,740,740.0,53.0,57,65.0,24.0,40,65.0,0,0.0,0.0,53,57,65,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,6,86,Ясенево,Yasenevo,Калужско-Рижская,8,8,740,740.0,26.0,55,66.0,0.0,3,4.0,0,0.0,0.0,26,55,66,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,8
109,6,87,Новоясеневская,Novoyasenevskaya,Калужско-Рижская,3,3,750,900.0,67.0,69,73.0,0.0,17,25.0,0,0.0,0.0,67,69,73,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
110,7,152,Выхино,Vykhino,Таганско-Краснопресненская,5,5,550,890.0,25.0,41,63.0,25.0,41,63.0,0,0.0,0.0,25,41,63,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,7,151,Рязанский проспект,Ryazansky Prospekt,Таганско-Краснопресненская,2,2,700,800.0,3.0,24,45.0,0.0,22,45.0,0,0.0,0.0,3,24,45,0,1.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
