stationId,lineId,nodeId,stationName,stationName_en,lineName,routesIn,routesOut,minTaper,maxTaper,minStairs,avStairs,maxStairs,minRailsStairs,avRailsStairs,maxRailsStairs,lift,minLiftAmount,maxLiftAmount,minLiftStairs,avLiftStairs,maxLiftStairs,minStairways,maxStairways,stairwayAvailableRoutesIn,stairwayAvailableRoutesOut,stairwayAvailableRoutesAmount,liftAvailableRoutesIn,liftAvailableRoutesOut,liftAvailableRoutesAmount,wheelchairFriendlyRoutes,wheelchairFriendlyRoutesIn,wheelchairFriendlyRoutesOut,wheelchairFriendlyRoutesAmount,handicappedFriendlyRoutes,handicappedFriendlyRoutesIn,handicappedFriendlyRoutesOut,handicappedFriendlyRoutesAmount,luggageFriendlyRoutes,luggageFriendlyRoutesIn,luggageFriendlyRoutesOut,luggageFriendlyRoutesAmount
1,1,126,Бульвар Рокоссовского,Bulvar Rokossovskogo,Сокольническая,5,5,740,740.0,35.0,45,63.0,1.0,22,53.0,0,0.0,0.0,35,45,63,0,1.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4
2,1,127,Черкизовская,Cherkizovskaya,Сокольническая,3,3,540,720.0,3.0,32,61.0,3.0,23,61.0,0,0.0,0.0,3,32,61,0,1.0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,128,Преображенская площадь,Preobrajenskaya ploschad,Сокольническая,13,13,730,750.0,50.0,56,64.0,24.0,37,59.0,0,0.0,0.0,50,56,64,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,129,Сокольники,Sokolniki,Сокольническая,1,2,540,730.0,61.0,61,61.0,61.0,61,61.0,0,0.0,0.0,61,61,61,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,130,Красносельская,Krasnoselskaya,Сокольническая,1,1,750,750.0,61.0,61,61.0,61.0,61,61.0,0,0.0,0.0,61,61,61,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,91,Комсомольская,Komsomolskaya,Сокольническая,11,5,540,750.0,21.0,56,73.0,0.0,31,54.0,0,0.0,0.0,21,56,73,0,1.0,8,2,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
7,1,131,Красные ворота,Krasnye Vorota,Сокольническая,2,2,730,730.0,2.0,16,41.0,2.0,16,41.0,0,0.0,0.0,2,16,41,1,2.0,2,2,4,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1
8,1,74,Чистые пруды,Chistye Prudy,Сокольническая,8,8,550,850.0,22.0,41,56.0,1.0,30,53.0,0,0.0,0.0,22,41,56,1,2.0,8,8,16,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3
9,1,132,Лубянка,Lubyanka,Сокольническая,9,9,700,720.0,20.0,28,34.0,20.0,28,34.0,0,0.0,0.0,20,28,34,1,2.0,9,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,14,Охотный ряд,Okhotny Ryad,Сокольническая,10,10,540,790.0,3.0,46,59.0,3.0,40,59.0,0,0.0,0.0,3,46,59,1,1.0,10,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,13,Библиотека им. Ленина,Biblioteka imeni Lenina,Сокольническая,8,8,550,800.0,29.0,86,113.0,29.0,65,85.0,0,0.0,0.0,29,86,113,0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,133,Кропоткинская,Kropotkinskaya,Сокольническая,3,3,700,720.0,33.0,44,49.0,33.0,44,49.0,0,0.0,0.0,33,44,49,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,93,Парк культуры,Park Kultury,Сокольническая,2,2,550,740.0,21.0,51,63.0,21.0,51,63.0,0,0.0,0.0,21,51,63,0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,134,Фрунзенская,Frunzenskaya,Сокольническая,1,1,550,710.0,2.0,2,2.0,2.0,2,2.0,0,0.0,0.0,0,0,0,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,0,1,1
15,1,135,Спортивная,Sportivnaya,Сокольническая,2,2,730,730.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,1,1.0,2,2,4,0,0,0,0,0,0,0,1,2,2,4,1,2,2,4
16,1,136,Воробьёвы горы,Vorobyovy Gory,Сокольническая,5,5,720,720.0,5.0,34,74.0,1.0,32,74.0,0,0.0,0.0,5,34,74,0,1.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4
17,1,137,Университет,Universitet,Сокольническая,4,2,725,725.0,0.0,11,22.0,0.0,11,22.0,0,0.0,0.0,0,11,22,1,1.0,4,2,6,0,0,0,0,0,0,0,1,2,1,3,1,2,1,3
18,1,138,Проспект Вернадского,Prospekt Vernadskogo,Сокольническая,8,8,720,730.0,36.0,50,54.0,2.0,33,54.0,0,0.0,0.0,36,50,54,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4
19,1,139,Юго-Западная,Yugo-Zapadnaya,Сокольническая,8,8,720,720.0,48.0,51,54.0,0.0,29,52.0,0,0.0,0.0,48,51,54,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4
20,2,56,Красногвардейская,Krasnogvardeyskaya,Замоскворецкая,8,8,800,800.0,32.0,54,67.0,0.0,30,64.0,0,0.0,0.0,32,54,67,0,1.0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
21,2,55,Домодедовская,Domodedovskaya,Замоскворецкая,14,14,720,720.0,9.0,50,79.0,0.0,32,77.0,0,0.0,0.0,9,50,79,0,1.0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,1,0,7,7
22,2,54,Орехово,Orekhovo,Замоскворецкая,3,3,720,720.0,1.0,32,48.0,0.0,8,25.0,0,0.0,0.0,1,32,48,0,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,2,2,4
23,2,53,Царицыно,Tsaritsino,Замоскворецкая,6,6,720,720.0,20.0,52,75.0,0.0,30,75.0,0,0.0,0.0,20,52,75,0,1.0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4
24,2,52,Кантемировская,Kantemirovskaya,Замоскворецкая,6,6,720,720.0,51.0,58,64.0,0.0,11,38.0,0,0.0,0.0,51,58,64,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,8
25,11,51,Каширская,Kashirskaya,Каховская,2,4,540,550.0,1.0,34,53.0,0.0,2,3.0,0,0.0,0.0,1,34,53,0,1.0,0,2,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
26,11,89,Каховская,Kakhovskaya,Каховская,8,8,550,720.0,44.0,54,58.0,24.0,41,58.0,0,0.0,0.0,44,54,58,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,11,88,Варшавская,Varshavskaya,Каховская,8,8,540,740.0,24.0,57,87.0,0.0,39,85.0,0,0.0,0.0,24,57,87,0,1.0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2,50,Коломенская,Kolomenskaya,Замоскворецкая,8,8,540,720.0,32.0,51,56.0,0.0,20,32.0,0,0.0,0.0,32,51,56,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
29,2,49,Автозаводская,Avtozavodskaya,Замоскворецкая,3,3,720,720.0,1.0,24,36.0,1.0,3,5.0,0,0.0,0.0,1,24,36,1,1.0,3,3,6,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
30,2,48,Павелецкая,Paveletskaya,Замоскворецкая,3,4,540,720.0,0.0,3,9.0,0.0,1,1.0,0,0.0,0.0,0,3,9,1,1.0,3,4,7,0,0,0,0,0,0,0,1,2,3,5,1,3,0,3
31,2,47,Новокузнецкая,Novokuznetskaya,Замоскворецкая,1,1,720,720.0,1.0,1,1.0,1.0,1,1.0,0,0.0,0.0,1,1,1,1,1.0,1,1,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
32,2,14,Театральная,Teatralnaya,Замоскворецкая,3,3,540,790.0,0.0,29,45.0,0.0,29,45.0,0,0.0,0.0,0,29,45,1,1.0,3,3,6,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
33,2,46,Тверская,Tverskaya,Замоскворецкая,11,11,720,720.0,0.0,35,51.0,0.0,28,51.0,0,0.0,0.0,0,35,51,1,2.0,11,11,22,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
34,2,45,Маяковская,Mayakovskaya,Замоскворецкая,3,3,750,850.0,37.0,44,48.0,0.0,0,1.0,0,0.0,0.0,27,40,48,1,2.0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6
35,2,44,Белорусская,Belorusskaya,Замоскворецкая,2,1,720,720.0,0.0,13,40.0,0.0,13,40.0,0,0.0,0.0,0,13,40,1,1.0,2,1,3,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
36,2,43,Динамо,Dinamo,Замоскворецкая,2,2,720,720.0,0.0,4,13.0,0.0,4,13.0,0,0.0,0.0,0,4,13,1,1.0,2,2,4,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2
37,2,42,Аэропорт,Aeroport,Замоскворецкая,4,4,720,720.0,49.0,60,73.0,21.0,40,58.0,0,0.0,0.0,49,60,73,0,1.0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2,41,Сокол,Sokol,Замоскворецкая,3,7,550,790.0,28.0,55,62.0,0.0,24,57.0,0,0.0,0.0,28,55,62,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2,40,Войковская,Voykovskaya,Замоскворецкая,7,7,720,720.0,46.0,50,55.0,24.0,32,55.0,0,0.0,0.0,46,50,55,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
