id_station;id_line;id_node;name_en;name_ru;lat;lon
101;1;1;Yungorodok;Юнгородок;53.2127515;50.2832456
102;1;2;Kirovskaya;Кировская;53.21128997;50.26953609
103;1;3;Bezymyanka;Безымянка;53.212475;50.2476557
104;1;4;Pobeda;Победа;53.2069832;50.2357699
105;1;5;Sovetskaya;Советская;53.2015543;50.2204405
106;1;6;Sportivnaya;Спортивная;53.2009557;50.1995781
107;1;7;Gagarinskaya;Гагаринская;53.2002741;50.1765124
108;1;8;Moskovskaya;Московская;53.2028088;50.1604963
109;1;9;Rossiyskaya;Российская;53.2119179;50.1489865
