id_entrance;meetcode;name_ru;name_en;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator
120010;1;Район Юнгородок;Yungorodok district ;101;both;53.2128042287199;50.2835194445255;720;9;9;0;0;0;0;0;0
120020;1;Рынок;Market;102;both;53.2113143413501;50.2681069566414;860;31;0;0;0;300;690;22;1
120030;1;пер. Роликовый, городская поликлиника № 10;pereulok Rolikovyj, city policlinic № 10;103;both;53.2133553632;50.2490702577;720;65;27;0;0;370;730;19;0
120040;2;пер. Славный;pereulok Slavnyj;103;both;53.2135620263;50.2495397451;720;63;63;0;0;0;0;0;0
120050;3;Сквер Авиаконструкторов, ул. Ново-Вокзальная (нечетная сторона);Skver Aviakonstruktorov, ul. Novo-Vokzalnaja (odd side);103;both;53.2130417969;50.2494648636;720;66;27;0;0;360;740;20;0
120060;4;Самарский дом игрушки;Samarskij dom igrushki;103;both;53.2132294163;50.2498617941;720;63;63;0;0;0;0;0;0
120070;5;ул. Ново-Вокзальная (четная сторона), Детский реабилитационный центр;ul. Novo-Vokzalnaja (even side), Rehabilitation Centre for Chlidren;103;both;53.212575096;50.2476222458;720;69;28;0;0;360;720;0;0
120080;6;ул. Александра Матросова, Самарский авиационный техникум;ul. Aleksandra Matrosova, Samarskij aviacionnyj tehnikum;103;both;53.2120928;50.2475609735;720;68;28;0;0;360;720;19;0
120090;7;Сквер Авиаконструкторов, ул. Ново-Вокзальная (четная сторона);Skver Aviakonstruktorov, ul. Novo-Vokzal'naja (even side);103;both;53.2122769863;50.2479813199;720;68;68;0;0;0;0;0;0
120100;1;ул. Физкультурная, Кировское трамвайное депо;ul. Fizkul'turnaja, Kirovskoe tramway depot;104;both;53.2062713388;50.235234445;720;60;28;0;0;420;800;19;0
120110;2;"ул. Физкультурная, универмаг ""Мозаика быта""";"ul. Fizkul'turnaja, univermag ""Mozaika byta""";104;both;53.2065376991;50.2357685047;720;69;28;0;0;400;780;19;0
120120;3;Университет путей сообщения, Психоневрологический диспансер;Universitet putej soobshhenija, Psychoneurological dispanser;104;both;53.206874169;50.2344722219;720;75;35;0;0;410;790;20;0
120130;4;Школа № 166;School № 166;104;both;53.2070873397;50.235055694;720;70;35;0;0;400;780;15;0
120140;1;"парк ""Дружба""";"park ""Druzhba""";105;both;53.2017426908;50.2216105617;720;70;70;0;0;0;0;0;0
120150;2;ул. Победы;ul. Pobedy;105;both;53.20177126;50.2222390854;720;64;28;0;0;420;720;19;0
120160;3;сквер Маяковского;skver Majakovskogo;105;both;53.2014438124;50.221639131;720;66;66;0;0;0;0;0;0
120170;4;ул. Днепровская;ul. Dneprovskaja;105;both;53.2014526029;50.2221995279;720;67;27;0;0;420;720;19;0
120180;1;ул. Михаила Сорокина, детская поликлиника;ul. Mihaila Sorokina, Policlinic for Children;106;both;53.2011397;50.2000039;720;61;28;0;0;420;790;20;0
120190;2;ул. Карбышева, ул. Михаила Сорокина;ul. Karbysheva, ul. Mihaila Sorokina;106;both;53.2011514;50.2005251;720;63;63;0;0;0;0;0;0
120200;3;"пер. Батальонный, ТЦ ""Самара-М""";"pereulok Batal'onnyj, ""Samara-M"" shopping mall";106;both;53.2007935;50.2000715;720;56;29;0;0;420;790;17;0
120210;4;ул. Карбышева, школа № 69;ul. Karbysheva, school № 69;106;both;53.2008049;50.2005876;720;54;54;0;0;0;0;0;0
120220;1;пр-д Митирёва, Самарский многопрофильный техникум;proezd Mitirjova, Samarskij mnogoprofil'nyj tehnikum;107;both;53.200463;50.1774061;720;39;1;0;0;410;710;20;1
120230;2;"ул. Мяги, ТЦ ""Остап""";"ul. Mjagi, ""Ostap"" shopping mall";107;both;53.2001192;50.1774641;720;39;1;0;0;400;700;19;1
120240;1;пр-т Карла Маркса, Городская детская больница №1;prospekt Karla Marksa, City Hospital for Children №1;108;both;53.2030954;50.1606747;720;32;0;0;0;420;720;21;1
120250;2;"пр-т Карла Маркса, ул. Пролетарская, ТОЦ ""Вертикаль""";"prospekt Karla Marksa, ul. Proletarskaja, ""Vertikal'"" shopping mall";108;both;53.2027644;50.1599573;720;33;1;0;0;730;800;19;1
120260;1;"пр-т Ленина, Самара-Космическая, стадион ""Торпедо""";"prospekt Lenina, Samara-Kosmicheskaja, stadium ""Torpedo""";109;both;53.2117433381993;50.1488290107;725;65;34;0;0;420;790;20;0
120270;2;пр-т Масленникова, Автобусный пр-д;prospekt Maslennikova, Avtobusnyj proezd;109;both;53.2121809446753;50.1493164486324;725;76;34;0;0;420;790;17;0
