id_from;id_to;name_from;name_to;cost
1;2;Młociny;Wawrzyszew;120
2;3;Wawrzyszew;Stare Bielany;120
3;4;Stare Bielany;Słodowiec;120
4;5;Słodowiec;Marymont;60
5;6;Marymont;Plac Wilsona;120
6;7;Plac Wilsona;Dworzec Gdański;180
7;8;Dworzec Gdański;Ratusz Arsenał;180
8;9;Ratusz Arsenał;Świętokrzyska;120
9;10;Świętokrzyska;Centrum;60
10;11;Centrum;Politechnika;180
11;12;Politechnika;Pole Mokotowskie;60
12;13;Pole Mokotowskie;Racławicka;120
13;14;Racławicka;Wierzbno;120
14;15;Wierzbno;Wilanowska;60
15;16;Wilanowska;Służew;120
16;17;Służew;Ursynów;120
17;18;Ursynów;Stokłosy;120
18;19;Stokłosy;Imielin;120
19;20;Imielin;Natolin;120
20;21;Natolin;Kabaty;120
