date, id_station, id_line, cell_cid, cell_lac, cell_hash, cell_name, cell_signal, cell_neighbors_count, cell_neighbors_data, cell_geo_location
"1383026404615", "144", "9", "603", "770", "-1", "25001", "16", "0", "[]", "unknown"
"1383026411633", "144", "9", "603", "770", "-1", "25001", "14", "0", "[]", "unknown"
"1383026607080", "143", "9", "4007", "26631", "-1", "25001", "23", "0", "[]", "unknown"
"1383026616836", "143", "9", "603", "770", "-1", "25001", "23", "0", "[]", "unknown"
"1383026629157", "143", "9", "603", "770", "-1", "25001", "17", "0", "[]", "unknown"
"1383026641008", "143", "9", "603", "770", "-1", "25001", "15", "0", "[]", "unknown"
"1383026808711", "142", "9", "402", "770", "-1", "25001", "22", "0", "[]", "unknown"
"1383026814186", "142", "9", "402", "770", "-1", "25001", "22", "0", "[]", "unknown"
"1383026838995", "142", "9", "402", "770", "-1", "25001", "17", "0", "[]", "unknown"
"1383026855606", "142", "9", "402", "770", "-1", "25001", "19", "0", "[]", "unknown"
"1383026862312", "142", "9", "402", "770", "-1", "25001", "13", "0", "[]", "unknown"
"1383026902893", "74", "5", "402", "770", "-1", "25001", "23", "0", "[]", "unknown"
"1383026910650", "74", "5", "402", "770", "-1", "25001", "22", "0", "[]", "unknown"
"1383026917258", "74", "5", "402", "770", "-1", "25001", "21", "0", "[]", "unknown"
"1383026927570", "74", "5", "6892879", "660", "-1", "25001", "11", "0", "[]", "unknown"
"1383026942439", "74", "5", "6892879", "660", "-1", "25001", "11", "0", "[]", "unknown"
"1383026952105", "74", "5", "6892879", "660", "-1", "25001", "11", "0", "[]", "unknown"
"1383026961149", "74", "5", "6892879", "660", "-1", "25001", "11", "0", "[]", "unknown"
"1383027006680", "75", "5", "6913616", "660", "-1", "25001", "14", "0", "[]", "unknown"
"1383027043743", "75", "5", "6913616", "660", "-1", "25001", "14", "0", "[]", "unknown"
"1383027051459", "75", "5", "6913616", "660", "-1", "25001", "13", "0", "[]", "unknown"
"1383027059380", "75", "5", "6913616", "660", "-1", "25001", "15", "0", "[]", "unknown"
"1383027141681", "98", "6", "6899779", "770", "-1", "25001", "9", "0", "[]", "unknown"
"1383027150150", "98", "6", "6899779", "770", "-1", "25001", "13", "0", "[]", "unknown"
"1383027162576", "98", "6", "6899779", "770", "-1", "25001", "17", "0", "[]", "unknown"
"1383027272164", "99", "6", "49566", "26632", "-1", "25001", "24", "0", "[]", "unknown"
"1383027291701", "99", "6", "49566", "26632", "-1", "25001", "13", "0", "[]", "unknown"
"1383027305448", "99", "6", "49566", "26632", "-1", "25001", "16", "0", "[]", "unknown"
"1383027316332", "99", "6", "49566", "26632", "-1", "25001", "22", "0", "[]", "unknown"
"1383027453530", "100", "6", "49565", "26632", "-1", "25001", "21", "0", "[]", "unknown"
"1383027467493", "100", "6", "49565", "26632", "-1", "25001", "17", "0", "[]", "unknown"
"1383027485029", "100", "6", "49565", "26632", "-1", "25001", "18", "0", "[]", "unknown"
"1383027495678", "100", "6", "49565", "26632", "-1", "25001", "17", "0", "[]", "unknown"
"1383027789097", "101", "6", "49577", "26632", "-1", "25001", "15", "0", "[]", "unknown"
"1383027811926", "101", "6", "49577", "26632", "-1", "25001", "14", "0", "[]", "unknown"
"1383027826114", "101", "6", "49577", "26632", "-1", "25001", "20", "0", "[]", "unknown"
"1383027843718", "101", "6", "49577", "26632", "-1", "25001", "23", "0", "[]", "unknown"
"1383027858364", "101", "6", "49577", "26632", "-1", "25001", "24", "0", "[]", "unknown"
"1383027874251", "101", "6", "49577", "26632", "-1", "25001", "14", "0", "[]", "unknown"
"1383027887753", "101", "6", "6782644", "6340", "-1", "25001", "13", "0", "[]", "unknown"
