id_from;id_to;name_from;name_to;cost
1;2;Проспект Космонавтов;Уралмаш;121
2;3;Уралмаш;Машиностроителей;102
3;4;Машиностроителей;Уральская;191
4;5;Уральская;Динамо;94
5;6;Динамо;Площадь 1905 года;90
6;7;Площадь 1905 года;Геологическая;85
7;8;Геологическая;Чкаловская;176
8;9;Чкаловская;Ботаническая;138
