station_from;station_to;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator
1;20;2000;40;40;1;40;0;0;0;0
20;1;2000;40;40;1;40;0;0;0;0
