id_entrance;meetcode;name_ru;name_en;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator;time
80870;1;Rue Saint-Martin;Rue Saint-Martin;23;both;46.52092167;6.636908207;1000;50;50;2;50;0;0;0;0;110
80880;2;Pont Charles-Bessières, Rue Caroline;Pont Charles-Bessières, Rue Caroline;23;both;46.52071909;6.637121674;1000;26;26;2;26;0;0;0;0;86
80890;3;Pont Charles-Bessières, Rue Caroline;Pont Charles-Bessières, Rue Caroline;23;both;46.52069949;6.637152169;1380;0;0;1;0;0;0;0;0;60
80900;4;Pont Charles-Bessières, Rue Caroline;Pont Charles-Bessières, Rue Caroline;23;both;46.52062543;6.637141278;1380;0;0;1;0;0;0;0;0;60
80910;5;Rue Centrale;Rue Centrale;23;both;46.52082801;6.636803653;1000;38;26;1;26;0;2000;9;0;98
80920;6;Rue de Bourg;Rue de Bourg;23;both;46.52070602;6.63689296;1000;39;39;1;26;0;0;0;0;99
80930;1;Avenue de Bèthusy, Place de l'Ours, Rue Marterey, Passage Perdonnet;Avenue de Bèthusy, Place de l'Ours, Rue Marterey, Passage Perdonnet;24;both;46.52118088;6.640502279;1300;105;105;1;105;0;0;0;0;165
80940;2;Avenue Pierre Decker, Maternité;Avenue Pierre Decker, Maternité;25;both;46.52676585;6.641606639;2000;51;51;1;44;0;0;0;0;111
80950;1;Rue du Bugnon, Avenue de la Sallaz;Rue du Bugnon, Avenue de la Sallaz;25;both;46.52670486;6.641399707;2000;44;44;1;44;0;0;0;0;104
80960;3;CHUV entree principale, Urgences, PMU;CHUV entree principale, Urgences, PMU;25;both;46.52619297;6.641390995;1200;30;30;1;30;0;0;0;0;90
80970;4;CHUV entree principale, Urgences, PMU;CHUV entree principale, Urgences, PMU;25;both;46.52617119;6.641554361;1200;30;30;1;30;0;0;0;0;90
80980;1;Le Viaduc;Le Viaduc;26;both;46.53245537;6.645882495;900;26;26;1;26;0;0;0;0;86
80990;2;Avenue de la Sallaz;Avenue de la Sallaz;26;both;46.53240091;6.646241902;900;26;26;1;26;0;0;0;0;86
81000;1;Route de Berne;Route de Berne;27;both;46.53887896;6.651230037;1000;138;138;1;138;0;0;0;0;198
81010;1;Route de Berne;Route de Berne;28;both;46.54137956;6.657616593;1000;51;51;1;51;0;0;0;0;111
81020;3;Parking Level -1;Parking Level -1;28;both;46.54092649;6.657891049;1500;13;13;0;0;0;0;0;0;73
81030;2;Parking Level -2;Parking Level -2;28;both;46.54096134;6.657525107;1500;5;5;0;0;0;0;0;0;65
81040;5;Route de Berne, Biopôle, Don du Sang;Route de Berne, Biopôle, Don du Sang;29;both;46.54239897;6.6603568;800;32;32;1;32;0;0;0;0;92
81050;3;Route de Berne, Biopôle, Route de la Croix-Blanche;Route de Berne, Biopôle, Route de la Croix-Blanche;29;both;46.54299144;6.660997198;2000;0;0;0;0;0;2000;4;0;60
81060;2;Route de Berne, Chemin des Croisettes;Route de Berne, Chemin des Croisettes;29;both;46.54314392;6.660805514;2000;0;0;0;0;0;2000;4;0;60
81070;1;Chemin des Croisettes;Chemin des Croisettes;29;both;46.54349244;6.661140961;2000;24;24;0;0;0;0;0;0;84
