id_station;id_line;id_node;name_en;name_ru;name_be;lat;lon
124;1;1;Uručča;Уручье;Уручча;53.9453821;27.687899
123;1;2;Barysaŭski trakt;Борисовский тракт;Барысаўскі тракт;53.9387412;27.666667
122;1;3;Uschod;Восток;Усход;53.9345184;27.6515217
121;1;4;Maskoŭskaja;Московская;Маскоўская;53.92804;27.6281328
120;1;5;Park Čaliuskincaŭ;Парк Челюскинцев;Парк Чалюскінцаў;53.9242313;27.6137063
119;1;6;Akademija navuk;Академия наук;Акадэмія навук;53.9218156;27.5994436
118;1;7;Plošča Jakuba Kolasa ;Площадь Якуба Коласа;Плошча Якуба Коласа;53.9158438;27.5840411
117;1;8;Plošča Pieramohi;Площадь Победы;Плошча Перамогі;53.9092827;27.5759926
116;1;9;Kastryčnickaja;Октябрьская;Кастрычніцкая;53.9020086;27.5621796
115;1;10;Plošča Lienina ;Площадь Ленина;Плошча Леніна;53.892561;27.5476975
114;1;11;Instytut Kuĺtury;Институт культуры;Інстытут культуры;53.8858932;27.5407052
113;1;12;Hrušaŭka;Грушевка;Грушаўка;53.8867326;27.5148712
112;1;13;Michalova;Михалово;Міхалова;53.8768881;27.4970954
111;1;14;Piatroŭščyna;Петровщина;Пятроўшчына;53.8647191;27.4861569
110;1;15;Malinovka;Малиновка;Малінаўка;53.849482;27.4746855
223;2;16;Kamiennaja Horka;Каменная горка;Каменная горка;53.9069094;27.4359041
222;2;17;Kuncaŭščyna;Кунцевщина;Кунцаўшчына;53.9062519;27.4540486
221;2;18;Spartyŭnaja;Спартыўная;Спартыўная;53.9084454;27.4795183
220;2;19;Puškinskaja;Пушкінская;Пушкінская;53.909671;27.4977357
219;2;20;Maladziožnaja;Малодёжная;Маладзёжная;53.9067061;27.5227942
218;2;21;Frunzienskaja;Фрунзенская;Фрунзенская;53.90526;27.5393852
217;2;22;Niamiha;Немига;Няміга;53.9058375;27.5540258
216;2;9;Kupalaŭskaja;Купаловская;Купалаўская;53.9009464;27.561788
215;2;23;Pieršamajskaja;Первомайская;Першамайская;53.8938442;27.5709184
214;2;24;Pralietarskaja;Пролетарская;Пралетарская;53.8899664;27.5862831
213;2;25;Traktarny zavod;Тракторный завод;Трактарны завод;53.8899194;27.6145005
212;2;26;Partyzanskaja;Партизанская;Партызанская;53.8762966;27.6288809
211;2;27;Aŭtazavodskaja;Автозаводская;Аўтазаводская;53.8693187;27.647584
210;2;28;Mahilioŭskaja;Могилёвская;Магілёўская;53.861991;27.6742453
